position,GSR_Reading,Time_Stamp
0,485.0,8_55_11_608
1,495.0,8_55_11_625
2,495.0,8_55_11_642
3,496.0,8_55_11_659
4,494.0,8_55_12_675
5,492.0,8_55_12_692
6,490.0,8_55_12_709
7,487.0,8_55_12_725
8,1.0,8_55_12_741
9,495.0,8_55_12_759
10,495.0,8_55_12_775
11,495.0,8_55_12_792
12,495.0,8_55_12_808
13,495.0,8_55_12_825
14,495.0,8_55_12_841
15,495.0,8_55_12_859
16,495.0,8_55_12_875
17,495.0,8_55_12_891
18,495.0,8_55_12_909
19,496.0,8_55_12_925
20,494.0,8_55_12_941
21,492.0,8_55_12_958
22,490.0,8_55_12_975
23,487.0,8_55_12_992
24,455.0,8_55_13_1908
25,479.0,8_55_13_1942
26,488.0,8_55_13_1992
27,492.0,8_55_13_2025
28,493.0,8_55_13_2075
29,494.0,8_55_13_2108
30,494.0,8_55_13_2142
31,494.0,8_55_13_2192
32,494.0,8_55_13_2225
33,495.0,8_55_13_2274
34,495.0,8_55_13_2308
35,495.0,8_55_13_2358
36,494.0,8_55_13_2391
37,494.0,8_55_13_2425
38,495.0,8_55_13_2475
39,495.0,8_55_13_2508
40,495.0,8_55_13_2559
41,495.0,8_55_13_2591
42,495.0,8_55_13_2625
43,495.0,8_55_14_2675
44,496.0,8_55_14_2708
45,494.0,8_55_14_2758
46,492.0,8_55_14_2791
47,490.0,8_55_14_2841
48,487.0,8_55_14_2875
49,485.0,8_55_14_2909
50,483.0,8_55_14_2958
51,481.0,8_55_14_2992
52,479.0,8_55_14_3041
53,488.0,8_55_14_3075
54,492.0,8_55_14_3125
55,493.0,8_55_14_3159
56,494.0,8_55_14_3208
57,494.0,8_55_14_3241
58,494.0,8_55_14_3275
59,494.0,8_55_14_3325
60,494.0,8_55_14_3358
61,494.0,8_55_14_3408
62,494.0,8_55_14_3442
63,494.0,8_55_14_3492
64,494.0,8_55_14_3524
65,494.0,8_55_14_3575
66,494.0,8_55_14_3608
67,494.0,8_55_14_3642
68,494.0,8_55_15_3691
69,494.0,8_55_15_3724
70,495.0,8_55_15_3775
71,494.0,8_55_15_3808
72,494.0,8_55_15_3858
73,495.0,8_55_15_3891
74,495.0,8_55_15_3925
75,494.0,8_55_15_3975
76,494.0,8_55_15_4009
77,494.0,8_55_15_4059
78,495.0,8_55_15_4091
79,495.0,8_55_15_4141
80,495.0,8_55_15_4175
81,495.0,8_55_15_4209
82,495.0,8_55_15_4259
83,495.0,8_55_15_4292
84,496.0,8_55_15_4342
85,494.0,8_55_15_4375
86,492.0,8_55_15_4425
87,489.0,8_55_15_4458
88,487.0,8_55_15_4492
89,485.0,8_55_15_4542
90,483.0,8_55_15_4575
91,481.0,8_55_15_4624
92,478.0,8_55_15_4659
93,489.0,8_55_16_4708
94,492.0,8_55_16_4741
95,493.0,8_55_16_4792
96,494.0,8_55_16_4825
97,494.0,8_55_16_4858
98,494.0,8_55_16_4908
99,494.0,8_55_16_4942
100,494.0,8_55_16_4991
101,494.0,8_55_16_5025
102,494.0,8_55_16_5075
103,494.0,8_55_16_5108
104,494.0,8_55_16_5141
105,494.0,8_55_16_5192
106,494.0,8_55_16_5225
107,494.0,8_55_16_5275
108,494.0,8_55_16_5308
109,494.0,8_55_16_5342
110,495.0,8_55_16_5391
111,494.0,8_55_16_5425
112,495.0,8_55_16_5475
113,495.0,8_55_16_5508
114,495.0,8_55_16_5558
115,495.0,8_55_16_5592
116,495.0,8_55_16_5642
117,495.0,8_55_17_5675
118,495.0,8_55_17_5725
119,495.0,8_55_17_5758
120,495.0,8_55_17_5792
121,495.0,8_55_17_5842
122,495.0,8_55_17_5875
123,495.0,8_55_17_5925
124,495.0,8_55_17_5959
125,494.0,8_55_17_6008
126,492.0,8_55_17_6041
127,490.0,8_55_17_6075
128,487.0,8_55_17_6125
129,485.0,8_55_17_6159
130,483.0,8_55_17_6208
131,481.0,8_55_17_6241
132,479.0,8_55_17_6292
133,476.0,8_55_17_6325
134,474.0,8_55_17_6358
135,486.0,8_55_17_6408
136,491.0,8_55_17_6441
137,493.0,8_55_17_6492
138,494.0,8_55_17_6525
139,495.0,8_55_17_6558
140,494.0,8_55_17_6609
141,494.0,8_55_17_6642
142,494.0,8_55_18_6692
143,494.0,8_55_18_6725
144,494.0,8_55_18_6775
145,494.0,8_55_18_6808
146,494.0,8_55_18_6859
147,494.0,8_55_18_6891
148,495.0,8_55_18_6925
149,494.0,8_55_18_6975
150,494.0,8_55_18_7009
151,494.0,8_55_18_7059
152,495.0,8_55_18_7092
153,495.0,8_55_18_7142
154,494.0,8_55_18_7175
155,494.0,8_55_18_7225
156,494.0,8_55_18_7260
157,495.0,8_55_18_7292
158,495.0,8_55_18_7341
159,495.0,8_55_18_7376
160,485.0,8_55_18_7425
161,492.0,8_55_18_7458
162,496.0,8_55_18_7509
163,496.0,8_55_18_7542
164,496.0,8_55_18_7575
165,495.0,8_55_18_7625
166,495.0,8_55_18_7658
167,493.0,8_55_19_7709
168,491.0,8_55_19_7742
169,489.0,8_55_19_7775
170,487.0,8_55_19_7825
171,485.0,8_55_19_7859
172,483.0,8_55_19_7908
173,481.0,8_55_19_7942
174,479.0,8_55_19_7992
175,488.0,8_55_19_8025
176,492.0,8_55_19_8058
177,494.0,8_55_19_8109
178,494.0,8_55_19_8141
179,494.0,8_55_19_8191
180,494.0,8_55_19_8225
181,493.0,8_55_19_8275
182,493.0,8_55_19_8308
183,493.0,8_55_19_8358
184,512.0,8_55_19_8391
185,502.0,8_55_19_8425
186,475.0,8_55_19_8475
187,481.0,8_55_19_8509
188,485.0,8_55_19_8559
189,488.0,8_55_19_8591
190,490.0,8_55_19_8642
191,491.0,8_55_20_8675
192,492.0,8_55_20_8725
193,493.0,8_55_20_8759
194,492.0,8_55_20_8792
195,492.0,8_55_20_8841
196,491.0,8_55_20_8875
197,490.0,8_55_20_8925
198,489.0,8_55_20_8958
199,489.0,8_55_20_8992
200,488.0,8_55_20_9042
201,489.0,8_55_20_9075
202,489.0,8_55_20_9125
203,490.0,8_55_20_9159
204,491.0,8_55_20_9208
205,491.0,8_55_20_9242
206,490.0,8_55_20_9275
207,488.0,8_55_20_9326
208,486.0,8_55_20_9359
209,483.0,8_55_20_9408
210,481.0,8_55_20_9442
211,479.0,8_55_20_9492
212,476.0,8_55_20_9525
213,417.0,8_55_20_9575
214,371.0,8_55_20_9609
215,340.0,8_55_20_9658
216,323.0,8_55_21_9692
217,312.0,8_55_21_9725
218,302.0,8_55_21_9775
219,295.0,8_55_21_9808
220,295.0,8_55_21_9858
221,301.0,8_55_21_9892
222,326.0,8_55_21_9943
223,364.0,8_55_21_9975
224,398.0,8_55_21_10008
225,424.0,8_55_21_10059
226,442.0,8_55_21_10091
227,454.0,8_55_21_10142
228,461.0,8_55_21_10175
229,466.0,8_55_21_10208
230,470.0,8_55_21_10258
231,473.0,8_55_21_10292
232,475.0,8_55_21_10342
233,476.0,8_55_21_10375
234,477.0,8_55_21_10425
235,477.0,8_55_21_10459
236,478.0,8_55_21_10508
237,477.0,8_55_21_10541
238,477.0,8_55_21_10591
239,465.0,8_55_21_10625
240,450.0,8_55_21_10658
241,431.0,8_55_22_10708
242,403.0,8_55_22_10742
243,371.0,8_55_22_10791
244,363.0,8_55_22_10826
245,362.0,8_55_22_10859
246,362.0,8_55_22_10908
247,361.0,8_55_22_10942
248,361.0,8_55_22_10992
249,360.0,8_55_22_11025
250,359.0,8_55_22_11075
251,358.0,8_55_22_11108
252,357.0,8_55_22_11141
253,376.0,8_55_22_11192
254,375.0,8_55_22_11225
255,374.0,8_55_22_11275
256,404.0,8_55_22_11308
257,396.0,8_55_22_11359
258,374.0,8_55_22_11392
259,351.0,8_55_22_11425
260,326.0,8_55_22_11475
261,299.0,8_55_22_11509
262,276.0,8_55_22_11558
263,259.0,8_55_22_11591
264,244.0,8_55_22_11642
265,229.0,8_55_23_11675
266,216.0,8_55_23_11709
267,206.0,8_55_23_11759
268,200.0,8_55_23_11792
269,197.0,8_55_23_11841
270,203.0,8_55_23_11875
271,221.0,8_55_23_11925
272,242.0,8_55_23_11958
273,242.0,8_55_23_12008
274,228.0,8_55_23_12041
275,213.0,8_55_23_12091
276,200.0,8_55_23_12125
277,191.0,8_55_23_12158
278,186.0,8_55_23_12208
279,184.0,8_55_23_12242
280,182.0,8_55_23_12292
281,179.0,8_55_23_12325
282,177.0,8_55_23_12359
283,174.0,8_55_23_12409
284,172.0,8_55_23_12442
285,172.0,8_55_23_12492
286,179.0,8_55_23_12525
287,186.0,8_55_23_12559
288,191.0,8_55_23_12608
289,196.0,8_55_23_12643
290,202.0,8_55_24_12692
291,207.0,8_55_24_12725
292,211.0,8_55_24_12775
293,215.0,8_55_24_12809
294,219.0,8_55_24_12842
295,223.0,8_55_24_12892
296,182.0,8_55_24_12925
297,168.0,8_55_24_12976
298,163.0,8_55_24_13008
299,161.0,8_55_24_13058
300,160.0,8_55_24_13092
301,160.0,8_55_24_13142
302,160.0,8_55_24_13175
303,163.0,8_55_24_13225
304,164.0,8_55_24_13259
305,164.0,8_55_24_13291
306,164.0,8_55_24_13341
307,164.0,8_55_24_13375
308,164.0,8_55_24_13425
309,165.0,8_55_24_13459
310,165.0,8_55_24_13509
311,165.0,8_55_24_13542
312,165.0,8_55_24_13575
313,165.0,8_55_24_13625
314,164.0,8_55_24_13658
315,164.0,8_55_25_13708
316,164.0,8_55_25_13742
317,163.0,8_55_25_13775
318,163.0,8_55_25_13825
319,162.0,8_55_25_13859
320,162.0,8_55_25_13909
321,162.0,8_55_25_13942
322,162.0,8_55_25_13992
323,162.0,8_55_25_14025
324,162.0,8_55_25_14075
325,161.0,8_55_25_14109
326,162.0,8_55_25_14142
327,170.0,8_55_25_14192
328,177.0,8_55_25_14225
329,183.0,8_55_25_14276
330,189.0,8_55_25_14309
331,194.0,8_55_25_14358
332,200.0,8_55_25_14392
333,205.0,8_55_25_14425
334,209.0,8_55_25_14476
335,213.0,8_55_25_14509
336,180.0,8_55_25_14559
337,169.0,8_55_25_14592
338,165.0,8_55_25_14642
339,164.0,8_55_26_14675
340,164.0,8_55_26_14725
341,163.0,8_55_26_14759
342,163.0,8_55_26_14792
343,163.0,8_55_26_14842
344,162.0,8_55_26_14875
345,162.0,8_55_26_14925
346,162.0,8_55_26_14958
347,162.0,8_55_26_14992
348,162.0,8_55_26_15042
349,162.0,8_55_26_15075
350,161.0,8_55_26_15125
351,161.0,8_55_26_15159
352,161.0,8_55_26_15209
353,161.0,8_55_26_15242
354,161.0,8_55_26_15292
355,160.0,8_55_26_15325
356,161.0,8_55_26_15358
357,160.0,8_55_26_15409
358,160.0,8_55_26_15442
359,160.0,8_55_26_15492
360,159.0,8_55_26_15525
361,159.0,8_55_26_15576
362,159.0,8_55_26_15608
363,159.0,8_55_26_15659
364,159.0,8_55_27_15692
365,159.0,8_55_27_15725
366,168.0,8_55_27_15776
367,175.0,8_55_27_15809
368,182.0,8_55_27_15858
369,188.0,8_55_27_15893
370,193.0,8_55_27_15943
371,198.0,8_55_27_15975
372,203.0,8_55_27_16009
373,208.0,8_55_27_16059
374,212.0,8_55_27_16092
375,216.0,8_55_27_16142
376,220.0,8_55_27_16175
377,178.0,8_55_27_16209
378,164.0,8_55_27_16259
379,160.0,8_55_27_16292
380,158.0,8_55_27_16342
381,157.0,8_55_27_16375
382,157.0,8_55_27_16409
383,156.0,8_55_27_16458
384,157.0,8_55_27_16492
385,156.0,8_55_27_16542
386,156.0,8_55_27_16575
387,156.0,8_55_27_16626
388,156.0,8_55_27_16659
389,156.0,8_55_28_16709
390,156.0,8_55_28_16742
391,156.0,8_55_28_16792
392,156.0,8_55_28_16825
393,156.0,8_55_28_16858
394,156.0,8_55_28_16908
395,156.0,8_55_28_16942
396,156.0,8_55_28_16992
397,156.0,8_55_28_17025
398,156.0,8_55_28_17075
399,156.0,8_55_28_17108
400,156.0,8_55_28_17159
401,156.0,8_55_28_17192
402,156.0,8_55_28_17226
403,156.0,8_55_28_17275
404,156.0,8_55_28_17309
405,156.0,8_55_28_17359
406,156.0,8_55_28_17392
407,165.0,8_55_28_17425
408,173.0,8_55_28_17476
409,179.0,8_55_28_17509
410,186.0,8_55_28_17559
411,191.0,8_55_28_17592
412,196.0,8_55_28_17626
413,202.0,8_55_29_17676
414,206.0,8_55_29_17708
415,211.0,8_55_29_17758
416,215.0,8_55_29_17792
417,175.0,8_55_29_17842
418,162.0,8_55_29_17875
419,157.0,8_55_29_17925
420,155.0,8_55_29_17959
421,155.0,8_55_29_17992
422,154.0,8_55_29_18042
423,154.0,8_55_29_18075
424,153.0,8_55_29_18126
425,153.0,8_55_29_18159
426,153.0,8_55_29_18209
427,153.0,8_55_29_18242
428,153.0,8_55_29_18292
429,152.0,8_55_29_18326
430,153.0,8_55_29_18359
431,152.0,8_55_29_18409
432,152.0,8_55_29_18442
433,152.0,8_55_29_18493
434,151.0,8_55_29_18525
435,152.0,8_55_29_18576
436,152.0,8_55_29_18609
437,152.0,8_55_29_18642
438,152.0,8_55_30_18692
439,151.0,8_55_30_18726
440,151.0,8_55_30_18775
441,151.0,8_55_30_18809
442,151.0,8_55_30_18858
443,151.0,8_55_30_18892
444,151.0,8_55_30_18925
445,151.0,8_55_30_18976
446,151.0,8_55_30_19009
447,161.0,8_55_30_19059
448,168.0,8_55_30_19093
449,176.0,8_55_30_19142
450,182.0,8_55_30_19176
451,188.0,8_55_30_19209
452,194.0,8_55_30_19259
453,199.0,8_55_30_19292
454,204.0,8_55_30_19342
455,208.0,8_55_30_19375
456,212.0,8_55_30_19426
457,171.0,8_55_30_19459
458,158.0,8_55_30_19508
459,153.0,8_55_30_19543
460,152.0,8_55_30_19575
461,151.0,8_55_30_19626
462,151.0,8_55_30_19659
463,151.0,8_55_31_19709
464,151.0,8_55_31_19742
465,151.0,8_55_31_19792
466,151.0,8_55_31_19826
467,150.0,8_55_31_19859
468,150.0,8_55_31_19910
469,150.0,8_55_31_19942
470,150.0,8_55_31_19992
471,150.0,8_55_31_20025
472,150.0,8_55_31_20059
473,151.0,8_55_31_20109
474,150.0,8_55_31_20142
475,150.0,8_55_31_20192
476,150.0,8_55_31_20225
477,150.0,8_55_31_20275
478,150.0,8_55_31_20309
479,151.0,8_55_31_20359
480,151.0,8_55_31_20392
481,151.0,8_55_31_20442
482,151.0,8_55_31_20476
483,150.0,8_55_31_20508
484,151.0,8_55_31_20558
485,151.0,8_55_31_20592
486,151.0,8_55_31_20643
487,161.0,8_55_32_20676
488,168.0,8_55_32_20726
489,175.0,8_55_32_20759
490,182.0,8_55_32_20792
491,188.0,8_55_32_20842
492,193.0,8_55_32_20876
493,198.0,8_55_32_20925
494,203.0,8_55_32_20959
495,208.0,8_55_32_20992
496,212.0,8_55_32_21042
497,172.0,8_55_32_21076
498,158.0,8_55_32_21126
499,153.0,8_55_32_21158
500,152.0,8_55_32_21209
501,152.0,8_55_32_21243
502,152.0,8_55_32_21292
503,152.0,8_55_32_21326
504,151.0,8_55_32_21359
505,151.0,8_55_32_21409
506,151.0,8_55_32_21442
507,151.0,8_55_32_21493
508,151.0,8_55_32_21525
509,151.0,8_55_32_21559
510,151.0,8_55_32_21609
511,151.0,8_55_32_21642
512,151.0,8_55_33_21692
513,151.0,8_55_33_21726
514,151.0,8_55_33_21775
515,151.0,8_55_33_21809
516,151.0,8_55_33_21859
517,151.0,8_55_33_21892
518,151.0,8_55_33_21943
519,151.0,8_55_33_21975
520,151.0,8_55_33_22009
521,151.0,8_55_33_22059
522,151.0,8_55_33_22093
523,151.0,8_55_33_22142
524,151.0,8_55_33_22176
525,152.0,8_55_33_22226
526,153.0,8_55_33_22259
527,161.0,8_55_33_22293
528,169.0,8_55_33_22342
529,176.0,8_55_33_22375
530,182.0,8_55_33_22426
531,188.0,8_55_33_22459
532,194.0,8_55_33_22493
533,199.0,8_55_33_22542
534,204.0,8_55_33_22576
535,208.0,8_55_33_22625
536,172.0,8_55_33_22659
537,158.0,8_55_34_22693
538,154.0,8_55_34_22742
539,152.0,8_55_34_22776
