X-Position,Current_Reading,Time_Stamp
0,501.0,21_17_7_567
1,505.0,21_17_9_1768
2,505.0,21_17_9_1817
3,506.0,21_17_9_1933
4,510.0,21_17_9_1961
5,513.0,21_17_9_1977
6,505.0,21_17_9_1993
7,506.0,21_17_9_2011
8,504.0,21_17_9_2061
9,512.0,21_17_9_2094
10,508.0,21_17_9_2127
11,506.0,21_17_9_2177
12,509.0,21_17_9_2210
13,503.0,21_17_9_2260
14,504.0,21_17_9_2294
15,504.0,21_17_9_2328
16,504.0,21_17_9_2377
17,513.0,21_17_9_2411
18,504.0,21_17_9_2461
19,504.0,21_17_9_2494
20,507.0,21_17_9_2544
21,505.0,21_17_9_2577
22,505.0,21_17_10_2611
23,509.0,21_17_10_2660
24,507.0,21_17_10_2694
25,512.0,21_17_10_2744
26,504.0,21_17_10_2777
27,512.0,21_17_10_2827
28,504.0,21_17_10_2861
29,504.0,21_17_10_2894
30,513.0,21_17_10_2943
31,505.0,21_17_10_2977
32,506.0,21_17_10_3027
33,504.0,21_17_10_3061
34,505.0,21_17_10_3110
35,509.0,21_17_10_3144
36,504.0,21_17_10_3178
37,508.0,21_17_10_3227
38,510.0,21_17_10_3260
39,513.0,21_17_10_3311
40,507.0,21_17_10_3344
41,504.0,21_17_10_3378
42,513.0,21_17_10_3428
43,511.0,21_17_10_3461
44,504.0,21_17_10_3510
45,508.0,21_17_10_3545
46,509.0,21_17_10_3594
47,510.0,21_17_11_3627
48,513.0,21_17_11_3660
49,504.0,21_17_11_3710
50,504.0,21_17_11_3744
51,506.0,21_17_11_3794
52,504.0,21_17_11_3828
53,511.0,21_17_11_3877
54,512.0,21_17_11_3910
55,504.0,21_17_11_3945
56,508.0,21_17_11_3994
57,502.0,21_17_11_4027
58,507.0,21_17_11_4077
59,504.0,21_17_11_4111
60,504.0,21_17_11_4144
61,512.0,21_17_11_4194
62,504.0,21_17_11_4227
63,505.0,21_17_11_4277
64,504.0,21_17_11_4311
65,504.0,21_17_11_4344
66,504.0,21_17_11_4394
67,504.0,21_17_11_4427
68,510.0,21_17_11_4477
69,509.0,21_17_11_4510
70,508.0,21_17_11_4561
71,506.0,21_17_11_4593
72,504.0,21_17_12_4628
73,508.0,21_17_12_4678
74,504.0,21_17_12_4711
75,504.0,21_17_12_4761
76,510.0,21_17_12_4794
77,504.0,21_17_12_4843
78,508.0,21_17_12_4877
79,508.0,21_17_12_4910
80,506.0,21_17_12_4960
81,505.0,21_17_12_4994
82,504.0,21_17_12_5044
83,513.0,21_17_12_5078
84,512.0,21_17_12_5111
85,503.0,21_17_12_5161
86,509.0,21_17_12_5194
87,505.0,21_17_12_5244
88,502.0,21_17_12_5277
89,512.0,21_17_12_5327
90,504.0,21_17_12_5360
91,507.0,21_17_12_5394
92,506.0,21_17_12_5444
93,504.0,21_17_12_5477
94,504.0,21_17_12_5527
95,508.0,21_17_12_5560
96,505.0,21_17_13_5610
97,513.0,21_17_13_5644
98,507.0,21_17_13_5677
99,507.0,21_17_13_5727
100,504.0,21_17_13_5761
101,513.0,21_17_13_5811
102,511.0,21_17_13_5844
103,512.0,21_17_13_5877
104,511.0,21_17_13_5927
105,509.0,21_17_13_5961
106,513.0,21_17_13_6010
107,502.0,21_17_13_6044
108,507.0,21_17_13_6094
109,509.0,21_17_13_6127
110,504.0,21_17_13_6161
111,510.0,21_17_13_6211
112,504.0,21_17_13_6244
113,504.0,21_17_13_6294
114,501.0,21_17_13_6327
115,505.0,21_17_13_6360
116,506.0,21_17_13_6411
117,501.0,21_17_13_6444
118,505.0,21_17_13_6494
119,509.0,21_17_13_6528
120,501.0,21_17_13_6578
121,508.0,21_17_14_6610
122,509.0,21_17_14_6644
123,501.0,21_17_14_6694
124,507.0,21_17_14_6728
125,513.0,21_17_14_6777
126,501.0,21_17_14_6811
127,512.0,21_17_14_6861
128,504.0,21_17_14_6894
129,501.0,21_17_14_6928
130,513.0,21_17_14_6977
131,505.0,21_17_14_7011
132,501.0,21_17_14_7061
133,505.0,21_17_14_7094
134,504.0,21_17_14_7128
135,501.0,21_17_14_7178
136,501.0,21_17_14_7210
137,502.0,21_17_14_7261
138,500.0,21_17_14_7294
139,504.0,21_17_14_7345
140,504.0,21_17_14_7378
141,503.0,21_17_14_7410
142,511.0,21_17_14_7461
143,501.0,21_17_14_7494
144,502.0,21_17_14_7544
145,513.0,21_17_14_7577
146,504.0,21_17_15_7629
147,503.0,21_17_15_7660
148,511.0,21_17_15_7695
149,504.0,21_17_15_7743
150,507.0,21_17_15_7777
151,503.0,21_17_15_7828
152,509.0,21_17_15_7861
153,494.0,21_17_15_7894
154,488.0,21_17_15_7944
155,488.0,21_17_15_7978
156,476.0,21_17_15_8028
157,475.0,21_17_15_8061
158,480.0,21_17_15_8111
159,471.0,21_17_15_8144
160,474.0,21_17_15_8177
161,472.0,21_17_15_8228
162,470.0,21_17_15_8261
163,462.0,21_17_15_8310
164,459.0,21_17_15_8344
165,461.0,21_17_15_8378
166,458.0,21_17_15_8427
167,460.0,21_17_15_8461
168,469.0,21_17_15_8511
169,461.0,21_17_15_8545
170,461.0,21_17_15_8594
171,461.0,21_17_16_8628
172,471.0,21_17_16_8661
173,479.0,21_17_16_8710
174,494.0,21_17_16_8744
175,492.0,21_17_16_8794
176,480.0,21_17_16_8828
177,469.0,21_17_16_8861
178,468.0,21_17_16_8911
179,456.0,21_17_16_8944
180,450.0,21_17_16_8994
181,452.0,21_17_16_9028
182,440.0,21_17_16_9077
183,437.0,21_17_16_9110
184,434.0,21_17_16_9144
185,434.0,21_17_16_9195
186,440.0,21_17_16_9228
187,435.0,21_17_16_9277
188,437.0,21_17_16_9311
189,438.0,21_17_16_9361
190,435.0,21_17_16_9394
191,439.0,21_17_16_9427
192,441.0,21_17_16_9477
193,457.0,21_17_16_9511
194,476.0,21_17_16_9561
195,477.0,21_17_16_9594
196,481.0,21_17_17_9628
197,468.0,21_17_17_9678
198,456.0,21_17_17_9711
199,448.0,21_17_17_9761
200,438.0,21_17_17_9794
201,435.0,21_17_17_9844
202,429.0,21_17_17_9877
203,427.0,21_17_17_9910
204,430.0,21_17_17_9961
205,423.0,21_17_17_9994
206,433.0,21_17_17_10044
207,427.0,21_17_17_10078
208,427.0,21_17_17_10127
209,437.0,21_17_17_10161
210,432.0,21_17_17_10194
211,458.0,21_17_17_10245
212,470.0,21_17_17_10278
213,482.0,21_17_17_10327
214,491.0,21_17_17_10361
215,485.0,21_17_17_10394
216,488.0,21_17_17_10444
217,495.0,21_17_17_10478
218,492.0,21_17_17_10527
219,500.0,21_17_17_10561
220,501.0,21_17_18_10611
221,511.0,21_17_18_10644
222,511.0,21_17_18_10678
223,507.0,21_17_18_10728
224,507.0,21_17_18_10760
225,510.0,21_17_18_10811
226,505.0,21_17_18_10844
227,506.0,21_17_18_10877
228,504.0,21_17_18_10927
229,507.0,21_17_18_10961
230,506.0,21_17_18_11011
231,502.0,21_17_18_11044
232,510.0,21_17_18_11094
233,496.0,21_17_18_11127
234,493.0,21_17_18_11161
235,496.0,21_17_18_11211
236,498.0,21_17_18_11244
237,502.0,21_17_18_11294
238,502.0,21_17_18_11327
239,502.0,21_17_18_11378
240,510.0,21_17_18_11410
241,508.0,21_17_18_11444
242,489.0,21_17_18_11495
243,479.0,21_17_18_11527
244,472.0,21_17_18_11578
245,480.0,21_17_19_11611
246,472.0,21_17_19_11644
247,472.0,21_17_19_11725
248,485.0,21_17_19_11766
249,485.0,21_17_19_11783
250,487.0,21_17_19_11816
251,490.0,21_17_19_11850
252,500.0,21_17_19_11899
253,500.0,21_17_19_11933
254,503.0,21_17_19_11983
255,504.0,21_17_19_12016
256,504.0,21_17_19_12050
257,505.0,21_17_19_12099
258,509.0,21_17_19_12133
259,504.0,21_17_19_12183
260,494.0,21_17_19_12216
261,469.0,21_17_19_12250
262,453.0,21_17_19_12300
263,444.0,21_17_19_12332
264,436.0,21_17_19_12382
265,431.0,21_17_19_12416
266,435.0,21_17_19_12466
267,425.0,21_17_19_12500
268,426.0,21_17_19_12533
269,424.0,21_17_19_12583
270,428.0,21_17_20_12616
271,433.0,21_17_20_12666
272,429.0,21_17_20_12699
273,432.0,21_17_20_12732
274,428.0,21_17_20_12783
275,434.0,21_17_20_12816
276,441.0,21_17_20_12866
277,428.0,21_17_20_12899
278,434.0,21_17_20_12950
279,444.0,21_17_20_12982
280,439.0,21_17_20_13016
281,452.0,21_17_20_13066
282,460.0,21_17_20_13099
283,460.0,21_17_20_13150
284,463.0,21_17_20_13183
285,456.0,21_17_20_13233
286,445.0,21_17_20_13266
287,444.0,21_17_20_13299
288,447.0,21_17_20_13349
289,440.0,21_17_20_13383
290,443.0,21_17_20_13433
291,444.0,21_17_20_13466
292,438.0,21_17_20_13500
293,443.0,21_17_20_13550
294,446.0,21_17_20_13583
295,433.0,21_17_21_13632
296,442.0,21_17_21_13666
297,434.0,21_17_21_13716
298,428.0,21_17_21_13749
299,431.0,21_17_21_13783
300,432.0,21_17_21_13833
301,426.0,21_17_21_13866
302,430.0,21_17_21_13916
303,436.0,21_17_21_13949
304,427.0,21_17_21_13983
305,429.0,21_17_21_14033
306,438.0,21_17_21_14066
307,428.0,21_17_21_14116
308,432.0,21_17_21_14149
309,434.0,21_17_21_14199
310,426.0,21_17_21_14233
311,436.0,21_17_21_14266
312,433.0,21_17_21_14316
313,424.0,21_17_21_14350
314,432.0,21_17_21_14400
315,427.0,21_17_21_14432
316,424.0,21_17_21_14483
317,432.0,21_17_21_14517
318,429.0,21_17_21_14549
319,425.0,21_17_21_14599
320,426.0,21_17_22_14632
321,427.0,21_17_22_14682
322,430.0,21_17_22_14716
323,429.0,21_17_22_14750
324,438.0,21_17_22_14799
325,438.0,21_17_22_14833
326,450.0,21_17_22_14883
327,448.0,21_17_22_14916
328,452.0,21_17_22_14966
329,458.0,21_17_22_14999
330,449.0,21_17_22_15033
331,457.0,21_17_22_15083
332,448.0,21_17_22_15116
333,447.0,21_17_22_15166
334,443.0,21_17_22_15199
