position,GSR_Reading,Time_Stamp
0,20802.0,17_1_22_434
1,204.0,17_1_22_450
2,192.0,17_1_22_467
3,205.0,17_1_22_483
4,193.0,17_1_22_500
5,209.0,17_1_22_516
6,206.0,17_1_22_533
7,210.0,17_1_22_550
8,228.0,17_1_22_567
9,213.0,17_1_22_583
10,261.0,17_1_22_600
11,214.0,17_1_22_616
12,302.0,17_1_22_633
13,216.0,17_1_22_650
14,347.0,17_1_22_666
15,NaN,17_1_22_686
16,215.0,17_1_22_700
17,198.0,17_1_22_716
18,203.0,17_1_22_733
19,200.0,17_1_22_750
20,208.0,17_1_22_766
21,201.0,17_1_22_783
22,202.0,17_1_22_800
23,204.0,17_1_22_817
24,192.0,17_1_22_833
25,205.0,17_1_22_849
26,193.0,17_1_22_867
27,209.0,17_1_22_883
28,206.0,17_1_22_900
29,210.0,17_1_22_917
30,228.0,17_1_22_933
31,213.0,17_1_22_949
32,261.0,17_1_22_967
33,214.0,17_1_22_983
34,302.0,17_1_22_1000
35,216.0,17_1_22_1016
36,347.0,17_1_22_1034
37,NaN,17_1_22_1050
38,215.0,17_1_22_1066
39,198.0,17_1_22_1083
40,203.0,17_1_23_1100
41,200.0,17_1_23_1117
42,208.0,17_1_23_1133
43,201.0,17_1_23_1149
44,202.0,17_1_23_1166
45,204.0,17_1_23_1183
46,192.0,17_1_23_1200
47,205.0,17_1_23_1217
48,193.0,17_1_23_1233
49,209.0,17_1_23_1250
50,206.0,17_1_23_1266
51,210.0,17_1_23_1283
52,228.0,17_1_23_1300
53,213.0,17_1_23_1316
54,261.0,17_1_23_1333
55,214.0,17_1_23_1350
56,302.0,17_1_23_1367
57,216.0,17_1_23_1383
58,347.0,17_1_23_1400
59,208.0,17_1_23_1767
60,493.0,17_1_23_1783
61,206.0,17_1_23_1800
62,441.0,17_1_23_1817
63,204.0,17_1_23_1850
64,408.0,17_1_23_1866
65,203.0,17_1_23_1883
66,382.0,17_1_23_1900
67,201.0,17_1_23_1933
68,350.0,17_1_23_1950
69,200.0,17_1_23_1967
70,313.0,17_1_23_1983
71,199.0,17_1_23_2016
72,277.0,17_1_23_2033
73,199.0,17_1_23_2050
74,256.0,17_1_23_2066
75,199.0,17_1_24_2100
76,221.0,17_1_24_2116
77,199.0,17_1_24_2133
78,207.0,17_1_24_2150
79,200.0,17_1_24_2167
80,251.0,17_1_24_2183
81,200.0,17_1_24_2217
82,205.0,17_1_24_2233
83,202.0,17_1_24_2250
84,209.0,17_1_24_2267
85,203.0,17_1_24_2300
86,197.0,17_1_24_2317
87,206.0,17_1_24_2333
88,186.0,17_1_24_2350
89,208.0,17_1_24_2383
90,197.0,17_1_24_2399
91,211.0,17_1_24_2416
92,212.0,17_1_24_2434
93,213.0,17_1_24_2466
94,267.0,17_1_24_2484
95,215.0,17_1_24_2500
96,276.0,17_1_24_2517
97,216.0,17_1_24_2533
98,318.0,17_1_24_2550
99,217.0,17_1_24_2583
100,364.0,17_1_24_2600
101,217.0,17_1_24_2617
102,405.0,17_1_24_2633
103,218.0,17_1_24_2667
104,455.0,17_1_24_2683
105,217.0,17_1_24_2700
106,485.0,17_1_24_2716
107,216.0,17_1_24_2733
108,580.0,17_1_24_2750
109,214.0,17_1_24_2783
110,505.0,17_1_24_2799
111,213.0,17_1_24_2817
112,504.0,17_1_24_2833
113,212.0,17_1_24_2866
114,507.0,17_1_24_2883
115,210.0,17_1_24_2900
116,505.0,17_1_24_2917
117,209.0,17_1_24_2950
118,475.0,17_1_24_2967
119,207.0,17_1_24_2983
120,438.0,17_1_24_3000
121,206.0,17_1_24_3033
122,217.0,17_1_24_3050
123,204.0,17_1_24_3067
124,379.0,17_1_24_3083
125,202.0,17_1_25_3100
126,348.0,17_1_25_3117
127,201.0,17_1_25_3150
128,311.0,17_1_25_3166
129,200.0,17_1_25_3183
130,275.0,17_1_25_3199
131,200.0,17_1_25_3233
132,245.0,17_1_25_3250
133,200.0,17_1_25_3267
134,220.0,17_1_25_3283
135,200.0,17_1_25_3316
136,0.0,17_1_25_3333
137,201.0,17_1_25_3350
138,203.0,17_1_25_3366
139,202.0,17_1_25_3400
140,203.0,17_1_25_3416
141,203.0,17_1_25_3433
142,209.0,17_1_25_3449
143,205.0,17_1_25_3466
144,195.0,17_1_25_3483
145,207.0,17_1_25_3516
146,191.0,17_1_25_3533
147,209.0,17_1_25_3550
148,195.0,17_1_25_3566
149,212.0,17_1_25_3600
150,327.0,17_1_25_3617
151,214.0,17_1_25_3633
152,235.0,17_1_25_3650
153,216.0,17_1_25_3683
154,273.0,17_1_25_3700
155,217.0,17_1_25_3716
156,315.0,17_1_25_3733
157,218.0,17_1_25_3767
158,353.0,17_1_25_3783
159,218.0,17_1_25_3800
160,405.0,17_1_25_3817
161,218.0,17_1_25_3833
162,451.0,17_1_25_3849
163,217.0,17_1_25_3883
164,578.0,17_1_25_3900
165,217.0,17_1_25_3917
166,500.0,17_1_25_3933
167,216.0,17_1_25_3966
168,506.0,17_1_25_3983
169,214.0,17_1_25_4000
170,506.0,17_1_25_4017
171,213.0,17_1_25_4050
172,506.0,17_1_25_4066
173,211.0,17_1_25_4083
174,510.0,17_1_26_4100
175,210.0,17_1_26_4116
176,480.0,17_1_26_4133
177,209.0,17_1_26_4166
178,521.0,17_1_26_4183
179,207.0,17_1_26_4200
180,409.0,17_1_26_4217
181,206.0,17_1_26_4250
182,381.0,17_1_26_4267
183,204.0,17_1_26_4283
184,351.0,17_1_26_4299
185,203.0,17_1_26_4333
186,313.0,17_1_26_4350
187,201.0,17_1_26_4367
188,278.0,17_1_26_4383
189,201.0,17_1_26_4417
190,246.0,17_1_26_4434
191,201.0,17_1_26_4450
192,186.0,17_1_26_4467
193,201.0,17_1_26_4483
194,206.0,17_1_26_4500
195,202.0,17_1_26_4534
196,202.0,17_1_26_4550
197,203.0,17_1_26_4567
198,202.0,17_1_26_4583
199,205.0,17_1_26_4616
200,208.0,17_1_26_4634
201,206.0,17_1_26_4650
202,194.0,17_1_26_4666
203,208.0,17_1_26_4700
204,189.0,17_1_26_4717
205,211.0,17_1_26_4733
206,160.0,17_1_26_4749
207,214.0,17_1_26_4766
208,210.0,17_1_26_4783
209,216.0,17_1_26_4817
210,235.0,17_1_26_4833
211,218.0,17_1_26_4850
212,275.0,17_1_26_4867
213,219.0,17_1_26_4899
214,318.0,17_1_26_4916
215,220.0,17_1_26_4933
216,363.0,17_1_26_4950
217,220.0,17_1_26_4983
218,409.0,17_1_26_5000
219,220.0,17_1_26_5017
220,493.0,17_1_26_5033
221,219.0,17_1_26_5067
222,486.0,17_1_26_5083
223,218.0,17_1_27_5100
224,501.0,17_1_27_5116
225,217.0,17_1_27_5133
226,506.0,17_1_27_5149
227,215.0,17_1_27_5184
228,503.0,17_1_27_5199
229,214.0,17_1_27_5216
230,508.0,17_1_27_5233
231,212.0,17_1_27_5267
232,508.0,17_1_27_5283
233,210.0,17_1_27_5300
234,491.0,17_1_27_5317
235,209.0,17_1_27_5350
236,439.0,17_1_27_5367
237,207.0,17_1_27_5383
238,406.0,17_1_27_5400
239,205.0,17_1_27_5434
240,378.0,17_1_27_5449
241,204.0,17_1_27_5467
242,348.0,17_1_27_5499
243,203.0,17_1_27_5509
244,311.0,17_1_27_5524
245,202.0,17_1_27_5541
246,275.0,17_1_27_5557
247,201.0,17_1_27_5591
248,261.0,17_1_27_5608
249,201.0,17_1_27_5624
250,220.0,17_1_27_5641
251,202.0,17_1_27_5674
252,206.0,17_1_27_5691
253,203.0,17_1_27_5708
254,201.0,17_1_27_5725
255,204.0,17_1_27_5741
256,203.0,17_1_27_5758
257,204.0,17_1_27_5791
258,207.0,17_1_27_5807
259,207.0,17_1_27_5824
260,194.0,17_1_27_5841
261,209.0,17_1_27_5874
262,181.0,17_1_27_5891
263,211.0,17_1_27_5907
264,196.0,17_1_27_5924
265,214.0,17_1_27_5958
266,212.0,17_1_27_5974
267,216.0,17_1_27_5991
268,238.0,17_1_27_6008
269,218.0,17_1_27_6041
270,279.0,17_1_27_6058
271,220.0,17_1_27_6075
272,322.0,17_1_28_6090
273,221.0,17_1_28_6108
274,367.0,17_1_28_6124
275,221.0,17_1_28_6158
276,0.0,17_1_28_6175
277,221.0,17_1_28_6190
278,454.0,17_1_28_6207
279,220.0,17_1_28_6241
280,486.0,17_1_28_6257
281,219.0,17_1_28_6274
282,503.0,17_1_28_6291
283,219.0,17_1_28_6324
284,505.0,17_1_28_6341
285,216.0,17_1_28_6358
286,506.0,17_1_28_6374
287,215.0,17_1_28_6408
288,510.0,17_1_28_6424
289,213.0,17_1_28_6441
290,531.0,17_1_28_6458
291,212.0,17_1_28_6475
292,477.0,17_1_28_6491
293,211.0,17_1_28_6524
294,442.0,17_1_28_6541
295,209.0,17_1_28_6558
296,408.0,17_1_28_6574
297,207.0,17_1_28_6607
298,381.0,17_1_28_6624
299,206.0,17_1_28_6641
300,351.0,17_1_28_6657
301,204.0,17_1_28_6674
302,313.0,17_1_28_6691
303,203.0,17_1_28_6724
304,278.0,17_1_28_6741
305,203.0,17_1_28_6758
306,246.0,17_1_28_6774
307,203.0,17_1_28_6808
308,221.0,17_1_28_6825
309,203.0,17_1_28_6841
310,206.0,17_1_28_6858
311,204.0,17_1_28_6891
312,202.0,17_1_28_6907
313,205.0,17_1_28_6924
314,201.0,17_1_28_6941
315,207.0,17_1_28_6974
316,207.0,17_1_28_6991
317,208.0,17_1_28_7007
318,191.0,17_1_28_7024
319,210.0,17_1_28_7057
320,188.0,17_1_28_7074
321,213.0,17_1_29_7091
322,193.0,17_1_29_7108
323,216.0,17_1_29_7125
324,208.0,17_1_29_7140
325,218.0,17_1_29_7174
326,233.0,17_1_29_7191
327,220.0,17_1_29_7208
328,273.0,17_1_29_7224
329,221.0,17_1_29_7257
330,317.0,17_1_29_7274
331,222.0,17_1_29_7291
332,369.0,17_1_29_7308
333,222.0,17_1_29_7341
334,407.0,17_1_29_7358
335,223.0,17_1_29_7374
336,456.0,17_1_29_7391
337,222.0,17_1_29_7408
338,487.0,17_1_29_7424
339,221.0,17_1_29_7458
340,504.0,17_1_29_7474
341,220.0,17_1_29_7491
342,509.0,17_1_29_7508
343,219.0,17_1_29_7541
344,507.0,17_1_29_7557
345,217.0,17_1_29_7575
346,518.0,17_1_29_7590
347,215.0,17_1_29_7625
348,513.0,17_1_29_7641
349,214.0,17_1_29_7657
350,479.0,17_1_29_7674
351,212.0,17_1_29_7691
352,442.0,17_1_29_7708
353,210.0,17_1_29_7741
354,410.0,17_1_29_7758
355,209.0,17_1_29_7775
356,382.0,17_1_29_7791
357,207.0,17_1_29_7824
358,353.0,17_1_29_7841
359,206.0,17_1_29_7858
360,330.0,17_1_29_7874
361,205.0,17_1_29_7907
362,279.0,17_1_29_7925
