position,GSR_Reading,Time_Stamp
0,468.0,7_57_19_602
1,453.0,7_57_21_1802
2,445.0,7_57_21_1851
3,439.0,7_57_21_1884
4,434.0,7_57_21_1933
5,429.0,7_57_21_1967
6,424.0,7_57_21_2000
7,420.0,7_57_21_2050
8,416.0,7_57_21_2084
9,412.0,7_57_21_2134
10,408.0,7_57_21_2168
11,405.0,7_57_21_2217
12,402.0,7_57_21_2251
13,399.0,7_57_21_2284
14,396.0,7_57_21_2333
15,393.0,7_57_21_2368
16,391.0,7_57_21_2417
17,389.0,7_57_21_2450
18,387.0,7_57_21_2501
19,385.0,7_57_21_2534
20,383.0,7_57_21_2568
21,381.0,7_57_21_2617
22,379.0,7_57_21_2650
23,377.0,7_57_22_2701
24,375.0,7_57_22_2734
25,373.0,7_57_22_2784
26,370.0,7_57_22_2817
27,368.0,7_57_22_2867
28,366.0,7_57_22_2900
29,364.0,7_57_22_2934
30,362.0,7_57_22_2984
31,360.0,7_57_22_3017
32,358.0,7_57_22_3067
33,356.0,7_57_22_3100
34,354.0,7_57_22_3150
35,351.0,7_57_22_3184
36,349.0,7_57_22_3217
37,346.0,7_57_22_3267
38,345.0,7_57_22_3301
39,343.0,7_57_22_3351
40,342.0,7_57_22_3384
41,341.0,7_57_22_3434
42,340.0,7_57_22_3467
43,339.0,7_57_22_3517
44,338.0,7_57_22_3550
45,336.0,7_57_22_3584
46,335.0,7_57_22_3634
47,334.0,7_57_23_3667
48,333.0,7_57_23_3717
49,332.0,7_57_23_3751
50,331.0,7_57_23_3801
51,330.0,7_57_23_3834
52,330.0,7_57_23_3867
53,330.0,7_57_23_3917
54,330.0,7_57_23_3950
55,330.0,7_57_23_4001
56,330.0,7_57_23_4034
57,330.0,7_57_23_4084
58,330.0,7_57_23_4117
59,330.0,7_57_23_4151
60,329.0,7_57_23_4201
61,329.0,7_57_23_4235
62,329.0,7_57_23_4284
63,328.0,7_57_23_4317
64,328.0,7_57_23_4368
65,327.0,7_57_23_4401
66,326.0,7_57_23_4434
67,326.0,7_57_23_4483
68,325.0,7_57_23_4517
69,325.0,7_57_23_4567
70,324.0,7_57_23_4601
71,323.0,7_57_23_4651
72,321.0,7_57_24_4684
73,320.0,7_57_24_4717
74,320.0,7_57_24_4768
75,318.0,7_57_24_4801
76,317.0,7_57_24_4851
77,317.0,7_57_24_4884
78,316.0,7_57_24_4934
79,316.0,7_57_24_4967
80,316.0,7_57_24_5001
81,315.0,7_57_24_5051
