position,GSR_Reading,Time_Stamp
0,NaN,9_25_48_558
1,500.0,9_25_48_572
2,50.0,9_25_48_588
3,NaN,9_25_48_606
4,511.0,9_25_48_622
5,341.0,9_25_48_639
6,146.0,9_25_48_655
7,NaN,9_25_48_672
8,144.0,9_25_48_688
9,197.0,9_25_48_706
10,361.0,9_25_48_723
11,564.0,9_25_48_739
12,697.0,9_25_48_755
13,616.0,9_25_48_772
14,452.0,9_25_48_788
15,229.0,9_25_48_807
16,152.0,9_25_48_822
17,253.0,9_25_48_839
18,412.0,9_25_48_855
19,639.0,9_25_48_872
20,672.0,9_25_48_889
21,563.0,9_25_48_906
22,398.0,9_25_48_922
23,174.0,9_25_48_939
24,170.0,9_25_49_955
25,296.0,9_25_49_972
26,467.0,9_25_49_989
27,674.0,9_25_49_1005
28,660.0,9_25_49_1022
29,511.0,9_25_49_1039
30,341.0,9_25_49_1055
31,146.0,9_25_49_1072
32,NaN,9_25_49_1906
33,464.0,9_25_49_1922
34,486.0,9_25_49_1939
35,507.0,9_25_50_1956
36,523.0,9_25_50_1972
37,542.0,9_25_50_1989
38,567.0,9_25_50_2006
39,604.0,9_25_50_2023
40,637.0,9_25_50_2039
41,660.0,9_25_50_2055
42,686.0,9_25_50_2072
43,709.0,9_25_50_2088
44,722.0,9_25_50_2105
45,727.0,9_25_50_2123
46,732.0,9_25_50_2139
47,734.0,9_25_50_2156
48,628.0,9_25_50_2172
49,455.0,9_25_50_2189
50,233.0,9_25_50_2205
51,212.0,9_25_50_2222
52,334.0,9_25_50_2239
53,502.0,9_25_50_2256
54,712.0,9_25_50_2272
55,710.0,9_25_50_2288
56,574.0,9_25_50_2305
57,406.0,9_25_50_2322
58,203.0,9_25_50_2339
59,224.0,9_25_50_2355
60,381.0,9_25_50_2372
61,567.0,9_25_50_2389
62,741.0,9_25_50_2405
63,683.0,9_25_50_2422
64,518.0,9_25_50_2439
65,310.0,9_25_50_2456
66,187.0,9_25_50_2472
67,268.0,9_25_50_2489
68,428.0,9_25_50_2505
69,652.0,9_25_50_2522
70,723.0,9_25_50_2538
71,632.0,9_25_50_2555
72,468.0,9_25_50_2572
73,235.0,9_25_50_2589
74,205.0,9_25_50_2606
75,316.0,9_25_50_2623
76,489.0,9_25_50_2639
77,708.0,9_25_50_2656
78,708.0,9_25_50_2673
79,579.0,9_25_50_2689
80,411.0,9_25_50_2706
81,206.0,9_25_50_2722
82,217.0,9_25_50_2738
83,365.0,9_25_50_2756
84,537.0,9_25_50_2773
85,731.0,9_25_50_2789
86,693.0,9_25_50_2805
87,528.0,9_25_50_2822
88,326.0,9_25_50_2839
89,177.0,9_25_50_2856
90,246.0,9_25_50_2872
91,413.0,9_25_50_2890
92,627.0,9_25_50_2906
93,722.0,9_25_50_2922
94,638.0,9_25_50_2939
95,482.0,9_25_51_2956
96,250.0,9_25_51_2972
97,192.0,9_25_51_2988
98,292.0,9_25_51_3005
99,464.0,9_25_51_3022
100,688.0,9_25_51_3038
101,709.0,9_25_51_3055
102,592.0,9_25_51_3072
103,423.0,9_25_51_3089
104,208.0,9_25_51_3106
105,208.0,9_25_51_3122
106,343.0,9_25_51_3139
107,512.0,9_25_51_3156
108,712.0,9_25_51_3172
109,697.0,9_25_51_3188
110,539.0,9_25_51_3205
111,354.0,9_25_51_3222
112,173.0,9_25_51_3239
113,231.0,9_25_51_3256
114,395.0,9_25_51_3272
115,602.0,9_25_51_3289
116,728.0,9_25_51_3305
117,648.0,9_25_51_3322
118,489.0,9_25_51_3339
119,267.0,9_25_51_3356
120,193.0,9_25_51_3372
121,282.0,9_25_51_3389
122,441.0,9_25_51_3405
123,672.0,9_25_51_3422
124,708.0,9_25_51_3439
125,601.0,9_25_51_3456
126,431.0,9_25_51_3472
127,207.0,9_25_51_3489
128,204.0,9_25_51_3505
129,332.0,9_25_51_3522
130,497.0,9_25_51_3539
131,698.0,9_25_51_3555
132,696.0,9_25_51_3572
133,548.0,9_25_51_3589
134,382.0,9_25_51_3606
135,180.0,9_25_51_3622
136,219.0,9_25_51_3639
137,379.0,9_25_51_3655
138,580.0,9_25_51_3672
139,732.0,9_25_51_3689
140,662.0,9_25_51_3705
141,499.0,9_25_51_3722
142,284.0,9_25_51_3739
143,187.0,9_25_51_3755
144,273.0,9_25_51_3772
145,429.0,9_25_51_3789
146,657.0,9_25_51_3806
147,709.0,9_25_51_3822
148,615.0,9_25_51_3839
149,447.0,9_25_51_3856
150,222.0,9_25_51_3872
151,200.0,9_25_51_3888
152,317.0,9_25_51_3905
153,488.0,9_25_51_3922
154,698.0,9_25_51_3939
155,700.0,9_25_52_3956
156,562.0,9_25_52_3973
157,395.0,9_25_52_3988
158,194.0,9_25_52_4006
159,218.0,9_25_52_4022
160,370.0,9_25_52_4039
161,554.0,9_25_52_4056
162,729.0,9_25_52_4072
163,675.0,9_25_52_4089
164,510.0,9_25_52_4106
165,302.0,9_25_52_4122
166,178.0,9_25_52_4139
167,257.0,9_25_52_4155
168,421.0,9_25_52_4173
169,639.0,9_25_52_4189
