X-Position,Current_Reading,Time_Stamp
0,50.0,9_52_32_610
1,501.0,9_52_32_627
2,502.0,9_52_32_643
3,501.0,9_52_32_659
4,502.0,9_52_32_676
5,502.0,9_52_32_693
6,502.0,9_52_32_710
7,501.0,9_52_32_727
8,502.0,9_52_32_743
9,502.0,9_52_32_759
10,503.0,9_52_32_777
11,503.0,9_52_32_793
12,NaN,9_52_32_814
13,502.0,9_52_32_826
14,502.0,9_52_32_843
15,502.0,9_52_32_860
16,502.0,9_52_32_877
17,501.0,9_52_32_894
18,502.0,9_52_32_909
19,501.0,9_52_32_926
20,502.0,9_52_32_943
21,501.0,9_52_32_960
22,502.0,9_52_32_976
23,502.0,9_52_33_993
24,502.0,9_52_33_1010
25,501.0,9_52_33_1026
26,502.0,9_52_33_1043
27,502.0,9_52_33_1060
28,503.0,9_52_33_1077
29,503.0,9_52_33_1094
30,NaN,9_52_33_1110
31,502.0,9_52_33_1126
32,502.0,9_52_33_1143
33,502.0,9_52_33_1160
34,502.0,9_52_33_1176
35,501.0,9_52_33_1193
36,502.0,9_52_33_1210
37,501.0,9_52_33_1226
38,502.0,9_52_33_1243
39,501.0,9_52_33_1259
40,502.0,9_52_33_1276
41,502.0,9_52_33_1293
42,502.0,9_52_33_1309
43,501.0,9_52_33_1326
44,502.0,9_52_33_1343
45,502.0,9_52_33_1360
46,503.0,9_52_33_1376
47,503.0,9_52_33_1393
48,NaN,9_52_33_1960
49,502.0,9_52_34_1993
50,502.0,9_52_34_2043
51,502.0,9_52_34_2076
52,502.0,9_52_34_2110
53,502.0,9_52_34_2159
54,502.0,9_52_34_2192
55,503.0,9_52_34_2243
56,502.0,9_52_34_2276
57,502.0,9_52_34_2327
58,503.0,9_52_34_2360
59,503.0,9_52_34_2393
60,502.0,9_52_34_2443
61,502.0,9_52_34_2477
62,503.0,9_52_34_2526
63,502.0,9_52_34_2560
64,503.0,9_52_34_2610
65,502.0,9_52_34_2643
66,503.0,9_52_34_2676
67,503.0,9_52_34_2726
68,503.0,9_52_34_2760
69,502.0,9_52_34_2809
70,503.0,9_52_34_2843
71,503.0,9_52_34_2876
72,503.0,9_52_34_2926
73,503.0,9_52_34_2959
74,502.0,9_52_35_3010
75,502.0,9_52_35_3043
76,503.0,9_52_35_3093
77,502.0,9_52_35_3127
78,502.0,9_52_35_3159
79,502.0,9_52_35_3210
80,502.0,9_52_35_3243
81,502.0,9_52_35_3293
82,502.0,9_52_35_3326
83,502.0,9_52_35_3377
84,502.0,9_52_35_3410
85,502.0,9_52_35_3443
86,502.0,9_52_35_3493
87,502.0,9_52_35_3526
88,502.0,9_52_35_3576
89,501.0,9_52_35_3610
90,501.0,9_52_35_3660
91,502.0,9_52_35_3694
92,502.0,9_52_35_3726
93,501.0,9_52_35_3776
94,502.0,9_52_35_3810
95,502.0,9_52_35_3860
96,502.0,9_52_35_3893
97,502.0,9_52_35_3926
98,502.0,9_52_35_3976
99,502.0,9_52_36_4009
100,503.0,9_52_36_4060
101,502.0,9_52_36_4093
102,503.0,9_52_36_4144
103,503.0,9_52_36_4177
104,503.0,9_52_36_4210
105,503.0,9_52_36_4260
106,503.0,9_52_36_4293
107,503.0,9_52_36_4343
108,502.0,9_52_36_4376
109,502.0,9_52_36_4426
110,503.0,9_52_36_4460
111,502.0,9_52_36_4493
112,502.0,9_52_36_4543
113,503.0,9_52_36_4577
114,502.0,9_52_36_4627
115,502.0,9_52_36_4659
116,503.0,9_52_36_4693
117,502.0,9_52_36_4744
118,502.0,9_52_36_4777
119,502.0,9_52_36_4826
120,503.0,9_52_36_4859
121,502.0,9_52_36_4893
122,503.0,9_52_36_4943
123,502.0,9_52_36_4977
124,502.0,9_52_37_5027
125,502.0,9_52_37_5059
126,502.0,9_52_37_5110
127,502.0,9_52_37_5143
128,502.0,9_52_37_5176
129,501.0,9_52_37_5226
130,502.0,9_52_37_5260
131,502.0,9_52_37_5310
132,502.0,9_52_37_5343
133,501.0,9_52_37_5393
134,501.0,9_52_37_5426
135,502.0,9_52_37_5460
136,502.0,9_52_37_5510
137,502.0,9_52_37_5543
138,502.0,9_52_37_5593
139,502.0,9_52_37_5626
140,502.0,9_52_37_5660
141,502.0,9_52_37_5710
142,502.0,9_52_37_5743
143,502.0,9_52_37_5793
144,503.0,9_52_37_5826
145,502.0,9_52_37_5860
146,503.0,9_52_37_5910
147,503.0,9_52_37_5944
148,503.0,9_52_38_5993
149,503.0,9_52_38_6026
150,503.0,9_52_38_6076
151,503.0,9_52_38_6110
152,503.0,9_52_38_6143
153,503.0,9_52_38_6193
154,503.0,9_52_38_6226
155,503.0,9_52_38_6277
