position,GSR_Reading,Time_Stamp
0,477.0,16_49_29_572
1,586.0,16_49_29_589
2,613.0,16_49_29_605
3,544.0,16_49_29_622
4,519.0,16_49_29_638
5,441.0,16_49_29_655
6,375.0,16_49_29_672
7,317.0,16_49_29_688
8,0.0,16_49_29_706
9,29.0,16_49_29_722
10,29.0,16_49_29_738
11,29.0,16_49_29_755
12,29.0,16_49_29_772
13,386.0,16_49_29_789
14,470.0,16_49_29_805
15,549.0,16_49_29_822
16,577.0,16_49_29_839
17,586.0,16_49_29_856
18,613.0,16_49_29_872
19,544.0,16_49_29_889
20,519.0,16_49_29_905
21,441.0,16_49_29_922
22,375.0,16_49_29_940
23,317.0,16_49_29_955
24,0.0,16_49_29_972
25,29.0,16_49_29_989
26,29.0,16_49_29_1005
27,29.0,16_49_29_1022
28,29.0,16_49_29_1039
29,386.0,16_49_29_1055
30,470.0,16_49_29_1072
31,549.0,16_49_29_1089
32,577.0,16_49_29_1105
33,586.0,16_49_29_1121
34,613.0,16_49_29_1138
35,544.0,16_49_29_1155
36,519.0,16_49_29_1172
37,441.0,16_49_29_1188
38,375.0,16_49_29_1205
39,317.0,16_49_29_1222
40,0.0,16_49_29_1239
41,29.0,16_49_29_1255
42,29.0,16_49_29_1272
43,29.0,16_49_29_1288
44,29.0,16_49_29_1305
45,386.0,16_49_29_1322
46,470.0,16_49_29_1338
47,549.0,16_49_29_1355
48,577.0,16_49_29_1371
49,586.0,16_49_29_1388
50,613.0,16_49_29_1405
51,544.0,16_49_29_1422
52,519.0,16_49_29_1439
53,441.0,16_49_29_1456
54,375.0,16_49_29_1471
55,317.0,16_49_29_1489
56,211.0,16_49_30_1922
57,177.0,16_49_30_1955
58,171.0,16_49_30_1989
59,184.0,16_49_30_2038
60,183.0,16_49_30_2072
61,167.0,16_49_30_2121
62,144.0,16_49_30_2157
63,154.0,16_49_30_2205
64,161.0,16_49_30_2239
65,73.0,16_49_30_2273
66,43.0,16_49_30_2322
67,33.0,16_49_30_2356
68,30.0,16_49_30_2405
69,29.0,16_49_30_2438
70,29.0,16_49_30_2472
71,29.0,16_49_30_2522
72,29.0,16_49_31_2555
73,36.0,16_49_31_2605
74,51.0,16_49_31_2639
75,73.0,16_49_31_2689
76,91.0,16_49_31_2722
77,134.0,16_49_31_2755
78,199.0,16_49_31_2805
79,175.0,16_49_31_2838
80,219.0,16_49_31_2888
81,212.0,16_49_31_2922
82,193.0,16_49_31_2972
83,183.0,16_49_31_3005
84,161.0,16_49_31_3055
85,157.0,16_49_31_3089
86,154.0,16_49_31_3122
87,158.0,16_49_31_3172
88,174.0,16_49_31_3206
89,181.0,16_49_31_3255
90,182.0,16_49_31_3289
91,170.0,16_49_31_3338
92,161.0,16_49_31_3372
93,169.0,16_49_31_3405
94,175.0,16_49_31_3455
95,77.0,16_49_31_3489
96,44.0,16_49_31_3539
97,33.0,16_49_32_3572
98,30.0,16_49_32_3622
99,29.0,16_49_32_3656
100,29.0,16_49_32_3689
101,28.0,16_49_32_3738
102,28.0,16_49_32_3772
103,43.0,16_49_32_3822
104,56.0,16_49_32_3855
105,78.0,16_49_32_3889
106,111.0,16_49_32_3938
107,154.0,16_49_32_3972
108,175.0,16_49_32_4022
109,209.0,16_49_32_4055
110,314.0,16_49_32_4105
111,332.0,16_49_32_4139
112,249.0,16_49_32_4189
113,203.0,16_49_32_4222
114,184.0,16_49_32_4256
115,188.0,16_49_32_4305
116,179.0,16_49_32_4339
117,170.0,16_49_32_4389
118,179.0,16_49_32_4422
119,191.0,16_49_32_4472
120,194.0,16_49_32_4505
121,178.0,16_49_33_4556
122,168.0,16_49_33_4589
123,175.0,16_49_33_4622
124,181.0,16_49_33_4672
125,79.0,16_49_33_4706
126,45.0,16_49_33_4755
127,33.0,16_49_33_4789
128,30.0,16_49_33_4838
129,29.0,16_49_33_4872
130,29.0,16_49_33_4905
131,35.0,16_49_33_4956
132,79.0,16_49_33_4988
133,80.0,16_49_33_5038
134,96.0,16_49_33_5072
135,95.0,16_49_33_5122
136,104.0,16_49_33_5155
137,154.0,16_49_33_5188
138,211.0,16_49_33_5239
139,245.0,16_49_33_5272
140,284.0,16_49_33_5322
141,291.0,16_49_33_5355
142,255.0,16_49_33_5405
143,232.0,16_49_33_5438
144,192.0,16_49_33_5472
145,177.0,16_49_33_5522
146,168.0,16_49_34_5555
147,171.0,16_49_34_5606
148,187.0,16_49_34_5638
149,197.0,16_49_34_5688
150,185.0,16_49_34_5722
151,165.0,16_49_34_5772
152,141.0,16_49_34_5806
153,79.0,16_49_34_5838
154,59.0,16_49_34_5889
155,38.0,16_49_34_5922
156,32.0,16_49_34_5972
157,29.0,16_49_34_6006
158,29.0,16_49_34_6055
159,28.0,16_49_34_6088
160,29.0,16_49_34_6122
161,29.0,16_49_34_6172
162,28.0,16_49_34_6205
163,35.0,16_49_34_6255
164,46.0,16_49_34_6288
165,65.0,16_49_34_6339
166,77.0,16_49_34_6372
167,106.0,16_49_34_6406
168,135.0,16_49_34_6456
169,176.0,16_49_34_6489
170,195.0,16_49_34_6538
171,181.0,16_49_35_6572
172,169.0,16_49_35_6605
173,155.0,16_49_35_6656
174,154.0,16_49_35_6689
175,152.0,16_49_35_6739
176,156.0,16_49_35_6772
177,165.0,16_49_35_6822
178,181.0,16_49_35_6855
179,189.0,16_49_35_6906
180,179.0,16_49_35_6939
181,169.0,16_49_35_6973
182,176.0,16_49_35_7023
183,182.0,16_49_35_7056
184,188.0,16_49_35_7106
185,82.0,16_49_35_7138
186,46.0,16_49_35_7189
187,34.0,16_49_35_7222
188,30.0,16_49_35_7256
189,29.0,16_49_35_7305
190,28.0,16_49_35_7339
191,28.0,16_49_35_7388
192,28.0,16_49_35_7422
193,36.0,16_49_35_7472
194,58.0,16_49_35_7506
195,71.0,16_49_36_7693
196,82.0,16_49_36_7735
197,116.0,16_49_36_7752
198,177.0,16_49_36_7769
199,223.0,16_49_36_7786
200,217.0,16_49_36_7802
201,258.0,16_49_36_7819
202,235.0,16_49_36_7835
203,190.0,16_49_36_7869
204,167.0,16_49_36_7919
205,149.0,16_49_36_7952
206,151.0,16_49_36_7986
207,157.0,16_49_36_8036
208,169.0,16_49_36_8068
209,184.0,16_49_36_8119
210,195.0,16_49_36_8152
211,185.0,16_49_36_8205
212,173.0,16_49_36_8236
213,180.0,16_49_36_8269
214,186.0,16_49_36_8319
215,191.0,16_49_36_8352
216,82.0,16_49_36_8402
217,46.0,16_49_36_8435
218,34.0,16_49_36_8469
219,31.0,16_49_36_8519
220,29.0,16_49_37_8552
221,28.0,16_49_37_8602
222,109.0,16_49_37_8636
223,69.0,16_49_37_8686
224,62.0,16_49_37_8718
225,154.0,16_49_37_8769
226,231.0,16_49_37_8802
227,295.0,16_49_37_8852
228,387.0,16_49_37_8885
229,406.0,16_49_37_8918
230,408.0,16_49_37_8969
231,409.0,16_49_37_9002
232,386.0,16_49_37_9052
233,332.0,16_49_37_9085
234,225.0,16_49_37_9135
235,184.0,16_49_37_9169
236,153.0,16_49_37_9202
237,144.0,16_49_37_9252
238,150.0,16_49_37_9286
239,168.0,16_49_37_9335
240,184.0,16_49_37_9369
241,195.0,16_49_37_9418
242,182.0,16_49_37_9452
243,173.0,16_49_37_9487
244,179.0,16_49_37_9536
245,186.0,16_49_38_9569
246,82.0,16_49_38_9618
247,53.0,16_49_38_9652
248,36.0,16_49_38_9702
249,31.0,16_49_38_9736
250,29.0,16_49_38_9910
251,28.0,16_49_38_9929
252,28.0,16_49_38_9946
253,246.0,16_49_38_9964
254,418.0,16_49_38_9979
255,483.0,16_49_38_9996
256,506.0,16_49_38_10029
257,589.0,16_49_38_10063
258,550.0,16_49_38_10096
259,542.0,16_49_38_10146
260,529.0,16_49_38_10179
261,478.0,16_49_38_10229
262,403.0,16_49_38_10263
263,342.0,16_49_38_10296
264,275.0,16_49_38_10346
265,233.0,16_49_38_10379
266,209.0,16_49_38_10429
267,192.0,16_49_38_10463
268,172.0,16_49_38_10513
269,180.0,16_49_38_10546
270,188.0,16_49_39_10579
271,199.0,16_49_39_10629
272,184.0,16_49_39_10662
273,173.0,16_49_39_10713
274,181.0,16_49_39_10746
275,187.0,16_49_39_10796
276,192.0,16_49_39_10830
277,83.0,16_49_39_10863
278,46.0,16_49_39_10913
279,34.0,16_49_39_10946
280,31.0,16_49_39_10996
281,30.0,16_49_39_11029
282,29.0,16_49_39_11079
283,29.0,16_49_39_11112
284,432.0,16_49_39_11162
285,550.0,16_49_39_11196
286,583.0,16_49_39_11246
287,586.0,16_49_39_11280
288,582.0,16_49_39_11313
289,599.0,16_49_39_11362
290,593.0,16_49_39_11396
291,283.0,16_49_39_11446
292,170.0,16_49_39_11479
293,128.0,16_49_39_11513
294,137.0,16_49_40_11563
295,121.0,16_49_40_11596
296,119.0,16_49_40_11646
297,111.0,16_49_40_11679
298,93.0,16_49_40_11730
299,109.0,16_49_40_11763
300,111.0,16_49_40_11796
301,113.0,16_49_40_11846
302,122.0,16_49_40_11880
303,130.0,16_49_40_11930
304,132.0,16_49_40_11963
305,143.0,16_49_40_12014
306,152.0,16_49_40_12047
307,160.0,16_49_40_12081
308,167.0,16_49_40_12129
309,75.0,16_49_40_12163
310,44.0,16_49_40_12212
311,33.0,16_49_40_12246
312,30.0,16_49_40_12279
313,29.0,16_49_40_12330
314,28.0,16_49_40_12363
315,29.0,16_49_40_12413
316,28.0,16_49_40_12446
317,34.0,16_49_40_12496
318,43.0,16_49_40_12529
319,54.0,16_49_41_12578
320,75.0,16_49_41_12618
321,121.0,16_49_41_12652
322,175.0,16_49_41_12702
323,244.0,16_49_41_12735
324,280.0,16_49_41_12785
325,253.0,16_49_41_12818
326,239.0,16_49_41_12852
327,211.0,16_49_41_12901
328,190.0,16_49_41_12935
329,165.0,16_49_41_12985
330,161.0,16_49_41_13018
331,161.0,16_49_41_13068
332,174.0,16_49_41_13101
333,191.0,16_49_41_13135
334,199.0,16_49_41_13185
335,186.0,16_49_41_13219
336,169.0,16_49_41_13268
337,157.0,16_49_41_13302
338,165.0,16_49_41_13352
339,101.0,16_49_41_13385
340,63.0,16_49_41_13418
341,59.0,16_49_41_13469
342,88.0,16_49_41_13501
343,59.0,16_49_42_13552
344,104.0,16_49_42_13585
345,86.0,16_49_42_13618
346,123.0,16_49_42_13668
347,258.0,16_49_42_13702
348,343.0,16_49_42_13752
349,365.0,16_49_42_13785
350,389.0,16_49_42_13835
351,446.0,16_49_42_13869
352,472.0,16_49_42_13918
353,469.0,16_49_42_13952
354,447.0,16_49_42_14001
355,412.0,16_49_42_14035
356,358.0,16_49_42_14069
357,308.0,16_49_42_14118
358,260.0,16_49_42_14151
359,227.0,16_49_42_14202
360,205.0,16_49_42_14235
361,194.0,16_49_42_14285
362,194.0,16_49_42_14318
363,199.0,16_49_42_14351
364,199.0,16_49_42_14402
365,175.0,16_49_42_14435
366,160.0,16_49_42_14486
367,168.0,16_49_42_14518
368,166.0,16_49_43_14568
369,196.0,16_49_43_14601
370,244.0,16_49_43_14635
371,298.0,16_49_43_14685
372,353.0,16_49_43_14718
373,402.0,16_49_43_14769
374,445.0,16_49_43_14802
375,483.0,16_49_43_14852
376,509.0,16_49_43_14885
377,517.0,16_49_43_14935
378,519.0,16_49_43_14969
379,520.0,16_49_43_15002
380,531.0,16_49_43_15052
381,534.0,16_49_43_15085
382,514.0,16_49_43_15135
383,480.0,16_49_43_15169
384,432.0,16_49_43_15218
385,376.0,16_49_43_15252
386,317.0,16_49_43_15285
387,267.0,16_49_43_15335
388,236.0,16_49_43_15368
389,205.0,16_49_43_15418
390,188.0,16_49_43_15452
391,188.0,16_49_43_15485
392,182.0,16_49_43_15535
393,181.0,16_49_44_15568
394,158.0,16_49_44_15619
395,142.0,16_49_44_15652
396,142.0,16_49_44_15702
397,83.0,16_49_44_15735
398,46.0,16_49_44_15768
399,34.0,16_49_44_15819
400,30.0,16_49_44_15852
401,195.0,16_49_44_15901
402,465.0,16_49_44_15935
403,580.0,16_49_44_15985
404,626.0,16_49_44_16018
405,644.0,16_49_44_16069
406,651.0,16_49_44_16102
407,654.0,16_49_44_16152
408,655.0,16_49_44_16185
409,656.0,16_49_44_16218
410,657.0,16_49_44_16268
411,656.0,16_49_44_16302
412,655.0,16_49_44_16352
413,621.0,16_49_44_16385
414,508.0,16_49_44_16435
415,235.0,16_49_44_16469
416,137.0,16_49_44_16519
417,142.0,16_49_45_16552
418,132.0,16_49_45_16585
419,130.0,16_49_45_16636
420,165.0,16_49_45_16668
421,207.0,16_49_45_16719
422,207.0,16_49_45_16752
423,219.0,16_49_45_16785
424,185.0,16_49_45_16835
425,147.0,16_49_45_16869
426,156.0,16_49_45_16919
427,164.0,16_49_45_16952
428,171.0,16_49_45_17001
429,76.0,16_49_45_17036
430,44.0,16_49_45_17068
431,33.0,16_49_45_17119
432,30.0,16_49_45_17152
433,29.0,16_49_45_17202
434,29.0,16_49_45_17235
435,29.0,16_49_45_17285
436,29.0,16_49_45_17318
437,29.0,16_49_45_17352
438,29.0,16_49_45_17402
439,29.0,16_49_45_17435
440,28.0,16_49_45_17485
441,32.0,16_49_45_17519
442,47.0,16_49_46_17568
443,87.0,16_49_46_17602
444,120.0,16_49_46_17645
445,140.0,16_49_46_17678
446,149.0,16_49_46_17728
447,145.0,16_49_46_17761
448,135.0,16_49_46_17812
449,86.0,16_49_46_17845
450,68.0,16_49_46_17878
451,79.0,16_49_46_17928
452,68.0,16_49_46_17962
453,75.0,16_49_46_18012
454,86.0,16_49_46_18045
455,106.0,16_49_46_18095
456,151.0,16_49_46_18128
457,170.0,16_49_46_18178
458,166.0,16_49_46_18212
459,151.0,16_49_46_18245
460,160.0,16_49_46_18296
461,167.0,16_49_46_18330
462,174.0,16_49_46_18379
463,180.0,16_49_46_18411
464,79.0,16_49_46_18444
465,45.0,16_49_46_18494
466,33.0,16_49_46_18528
467,30.0,16_49_47_18578
468,29.0,16_49_47_18612
469,29.0,16_49_47_18661
470,28.0,16_49_47_18695
471,29.0,16_49_47_18745
472,28.0,16_49_47_18779
473,28.0,16_49_47_18812
474,28.0,16_49_47_18861
475,28.0,16_49_47_18895
476,28.0,16_49_47_18945
477,45.0,16_49_47_18978
478,99.0,16_49_47_19028
479,110.0,16_49_47_19061
480,128.0,16_49_47_19112
481,182.0,16_49_47_19145
482,172.0,16_49_47_19178
483,185.0,16_49_47_19228
484,189.0,16_49_47_19261
485,194.0,16_49_47_19311
486,187.0,16_49_47_19345
487,176.0,16_49_47_19378
488,178.0,16_49_47_19428
489,182.0,16_49_47_19462
490,192.0,16_49_47_19511
491,199.0,16_49_47_19545
492,198.0,16_49_48_19595
493,181.0,16_49_48_19628
494,173.0,16_49_48_19661
495,179.0,16_49_48_19712
496,185.0,16_49_48_19744
497,80.0,16_49_48_19794
498,45.0,16_49_48_19829
499,33.0,16_49_48_19878
500,30.0,16_49_48_19911
501,29.0,16_49_48_19945
502,29.0,16_49_48_19995
503,28.0,16_49_48_20029
504,28.0,16_49_48_20078
505,49.0,16_49_48_20112
506,194.0,16_49_48_20161
507,298.0,16_49_48_20195
508,344.0,16_49_48_20245
509,338.0,16_49_48_20278
510,373.0,16_49_48_20311
511,343.0,16_49_48_20361
512,344.0,16_49_48_20394
513,335.0,16_49_48_20445
514,316.0,16_49_48_20478
515,295.0,16_49_48_20529
516,265.0,16_49_49_20561
517,231.0,16_49_49_20595
518,212.0,16_49_49_20645
519,194.0,16_49_49_20678
520,186.0,16_49_49_20728
521,186.0,16_49_49_20761
522,192.0,16_49_49_20811
523,199.0,16_49_49_20845
524,202.0,16_49_49_20895
525,183.0,16_49_49_20928
526,170.0,16_49_49_20962
527,177.0,16_49_49_21011
528,183.0,16_49_49_21045
529,101.0,16_49_49_21095
530,52.0,16_49_49_21128
531,36.0,16_49_49_21162
532,31.0,16_49_49_21211
533,29.0,16_49_49_21245
534,29.0,16_49_49_21295
535,28.0,16_49_49_21328
536,28.0,16_49_49_21378
537,36.0,16_49_49_21412
538,52.0,16_49_49_21462
539,65.0,16_49_49_21495
540,92.0,16_49_49_21528
541,106.0,16_49_50_21578
542,132.0,16_49_50_21611
543,177.0,16_49_50_21662
544,227.0,16_49_50_21694
545,255.0,16_49_50_21745
546,260.0,16_49_50_21778
547,259.0,16_49_50_21812
548,232.0,16_49_50_21862
549,218.0,16_49_50_21895
550,216.0,16_49_50_21945
551,212.0,16_49_50_21978
552,198.0,16_49_50_22028
553,182.0,16_49_50_22061
554,189.0,16_49_50_22095
555,198.0,16_49_50_22145
556,203.0,16_49_50_22178
557,188.0,16_49_50_22229
558,158.0,16_49_50_22262
559,160.0,16_49_50_22312
560,168.0,16_49_50_22344
561,179.0,16_49_50_22395
562,117.0,16_49_50_22428
563,164.0,16_49_50_22461
564,191.0,16_49_50_22511
565,324.0,16_49_50_22545
566,390.0,16_49_51_22595
567,437.0,16_49_51_22628
568,499.0,16_49_51_22678
569,514.0,16_49_51_22711
570,394.0,16_49_51_22745
571,271.0,16_49_51_22795
572,222.0,16_49_51_22828
573,199.0,16_49_51_22878
574,227.0,16_49_51_22911
575,411.0,16_49_51_22962
576,392.0,16_49_51_22995
577,356.0,16_49_51_23028
578,281.0,16_49_51_23079
579,219.0,16_49_51_23111
580,177.0,16_49_51_23161
581,160.0,16_49_51_23195
582,158.0,16_49_51_23245
583,162.0,16_49_51_23278
584,171.0,16_49_51_23329
585,185.0,16_49_51_23362
586,193.0,16_49_51_23411
