position,GSR_Reading,Time_Stamp
0,NaN,8_29_15_575
1,703.0,8_29_15_588
2,666.0,8_29_15_605
3,466.0,8_29_15_622
4,226.0,8_29_15_638
5,183.0,8_29_15_655
6,287.0,8_29_15_672
7,459.0,8_29_15_688
8,675.0,8_29_15_705
9,699.0,8_29_15_722
10,584.0,8_29_15_739
11,415.0,8_29_15_755
12,191.0,8_29_15_771
13,195.0,8_29_15_789
14,334.0,8_29_15_805
15,510.0,8_29_15_822
16,713.0,8_29_15_839
17,683.0,8_29_15_855
18,530.0,8_29_15_872
19,327.0,8_29_15_888
20,169.0,8_29_15_905
21,224.0,8_29_15_921
22,387.0,8_29_15_939
23,NaN,8_29_16_1905
24,745.0,8_29_16_1921
25,759.0,8_29_16_1938
26,771.0,8_29_16_1955
27,774.0,8_29_16_1972
28,769.0,8_29_16_1988
29,764.0,8_29_16_2005
30,761.0,8_29_16_2022
31,762.0,8_29_16_2039
32,758.0,8_29_16_2055
33,754.0,8_29_16_2071
34,750.0,8_29_16_2088
35,742.0,8_29_16_2105
36,728.0,8_29_16_2122
37,705.0,8_29_16_2139
38,631.0,8_29_16_2155
39,469.0,8_29_16_2171
40,264.0,8_29_16_2188
41,279.0,8_29_16_2205
42,423.0,8_29_16_2222
43,609.0,8_29_16_2238
44,777.0,8_29_16_2255
45,737.0,8_29_16_2272
46,581.0,8_29_16_2288
47,368.0,8_29_16_2305
48,246.0,8_29_16_2322
49,321.0,8_29_16_2339
50,475.0,8_29_16_2355
51,698.0,8_29_16_2372
52,762.0,8_29_16_2389
53,686.0,8_29_16_2405
54,530.0,8_29_16_2422
55,303.0,8_29_16_2439
56,262.0,8_29_16_2455
57,358.0,8_29_16_2472
58,529.0,8_29_16_2488
59,741.0,8_29_16_2505
60,758.0,8_29_16_2521
61,639.0,8_29_17_2538
62,472.0,8_29_17_2555
63,266.0,8_29_17_2572
64,273.0,8_29_17_2588
65,411.0,8_29_17_2605
66,591.0,8_29_17_2621
67,769.0,8_29_17_2639
68,736.0,8_29_17_2655
69,589.0,8_29_17_2671
70,382.0,8_29_17_2688
71,244.0,8_29_17_2705
72,307.0,8_29_17_2722
73,461.0,8_29_17_2738
74,684.0,8_29_17_2755
75,764.0,8_29_17_2771
76,691.0,8_29_17_2788
77,537.0,8_29_17_2805
78,302.0,8_29_17_2822
79,256.0,8_29_17_2838
80,348.0,8_29_17_2855
81,518.0,8_29_17_2876
82,729.0,8_29_17_2893
83,754.0,8_29_17_2909
84,648.0,8_29_17_2925
85,480.0,8_29_17_2942
86,268.0,8_29_17_2959
87,264.0,8_29_17_2975
88,398.0,8_29_17_2992
89,567.0,8_29_17_3009
90,761.0,8_29_17_3025
91,738.0,8_29_17_3042
92,595.0,8_29_17_3059
93,399.0,8_29_17_3076
94,240.0,8_29_17_3092
95,288.0,8_29_17_3109
96,447.0,8_29_17_3126
97,663.0,8_29_17_3142
98,767.0,8_29_17_3159
99,693.0,8_29_17_3175
100,544.0,8_29_17_3192
101,311.0,8_29_17_3209
102,253.0,8_29_17_3225
103,338.0,8_29_17_3242
104,503.0,8_29_17_3258
105,716.0,8_29_17_3275
106,753.0,8_29_17_3292
107,653.0,8_29_17_3309
108,489.0,8_29_17_3326
109,270.0,8_29_17_3342
110,258.0,8_29_17_3359
111,384.0,8_29_17_3375
112,554.0,8_29_17_3392
113,753.0,8_29_17_3408
114,738.0,8_29_17_3426
115,597.0,8_29_17_3442
116,413.0,8_29_17_3459
117,238.0,8_29_17_3476
118,282.0,8_29_17_3492
119,437.0,8_29_17_3508
120,647.0,8_29_17_3525
121,766.0,8_29_18_3542
122,700.0,8_29_18_3559
123,550.0,8_29_18_3575
124,318.0,8_29_18_3592
125,239.0,8_29_18_3608
126,325.0,8_29_18_3626
127,490.0,8_29_18_3642
128,713.0,8_29_18_3658
129,749.0,8_29_18_3675
130,655.0,8_29_18_3692
131,490.0,8_29_18_3708
132,271.0,8_29_18_3725
133,254.0,8_29_18_3742
134,367.0,8_29_18_3759
135,542.0,8_29_18_3775
136,746.0,8_29_18_3792
137,743.0,8_29_18_3809
138,603.0,8_29_18_3826
139,420.0,8_29_18_3842
140,231.0,8_29_18_3859
141,269.0,8_29_18_3875
142,424.0,8_29_18_3892
143,628.0,8_29_18_3908
144,760.0,8_29_18_3925
145,703.0,8_29_18_3942
146,553.0,8_29_18_3958
147,324.0,8_29_18_3975
148,236.0,8_29_18_3992
149,313.0,8_29_18_4009
150,477.0,8_29_18_4025
151,706.0,8_29_18_4042
152,745.0,8_29_18_4059
153,657.0,8_29_18_4076
154,491.0,8_29_18_4092
155,272.0,8_29_18_4109
156,245.0,8_29_18_4126
157,358.0,8_29_18_4142
158,530.0,8_29_18_4159
159,734.0,8_29_18_4175
160,738.0,8_29_18_4192
161,605.0,8_29_18_4209
162,437.0,8_29_18_4226
163,234.0,8_29_18_4242
164,259.0,8_29_18_4259
165,413.0,8_29_18_4275
