X-Position,Current_Reading,Time_Stamp
0,50234.0,12_9_27_1796
1,236.0,12_9_27_1861
2,244.0,12_9_27_1897
3,237.0,12_9_27_1927
4,232.0,12_9_27_1960
5,237.0,12_9_27_2011
6,232.0,12_9_27_2044
7,235.0,12_9_27_2094
8,245.0,12_9_27_2127
9,233.0,12_9_27_2160
10,242.0,12_9_27_2210
11,239.0,12_9_28_2244
12,233.0,12_9_28_2294
13,236.0,12_9_28_2327
14,239.0,12_9_28_2377
15,236.0,12_9_28_2411
16,245.0,12_9_28_2461
17,245.0,12_9_28_2494
18,235.0,12_9_28_2527
19,244.0,12_9_28_2577
20,238.0,12_9_28_2611
21,233.0,12_9_28_2660
22,238.0,12_9_28_2694
23,241.0,12_9_28_2744
24,240.0,12_9_28_2777
25,238.0,12_9_28_2811
26,244.0,12_9_28_2860
27,239.0,12_9_28_2894
28,249.0,12_9_28_2944
29,243.0,12_9_28_2977
30,237.0,12_9_28_3027
31,239.0,12_9_28_3060
32,245.0,12_9_28_3094
33,248.0,12_9_28_3144
34,239.0,12_9_28_3177
35,236.0,12_9_29_3228
36,239.0,12_9_29_3260
37,246.0,12_9_29_3311
38,240.0,12_9_29_3344
39,240.0,12_9_29_3394
40,235.0,12_9_29_3427
41,239.0,12_9_29_3460
42,243.0,12_9_29_3510
43,247.0,12_9_29_3543
44,240.0,12_9_29_3594
45,242.0,12_9_29_3627
46,248.0,12_9_29_3677
47,244.0,12_9_29_3711
48,240.0,12_9_29_3761
49,243.0,12_9_29_3794
50,242.0,12_9_29_3828
51,238.0,12_9_29_3877
52,238.0,12_9_29_3911
53,240.0,12_9_29_3960
54,239.0,12_9_29_3994
55,248.0,12_9_29_4027
56,235.0,12_9_29_4077
57,238.0,12_9_29_4110
58,241.0,12_9_29_4161
59,239.0,12_9_29_4194
60,238.0,12_9_30_4244
61,236.0,12_9_30_4277
62,233.0,12_9_30_4327
63,236.0,12_9_30_4361
64,239.0,12_9_30_4394
65,239.0,12_9_30_4444
66,243.0,12_9_30_4477
67,235.0,12_9_30_4527
68,244.0,12_9_30_4560
69,236.0,12_9_30_4610
70,239.0,12_9_30_4644
71,235.0,12_9_30_4677
72,237.0,12_9_30_4727
73,233.0,12_9_30_4761
74,236.0,12_9_30_4811
75,236.0,12_9_30_4844
76,233.0,12_9_30_4894
77,237.0,12_9_30_4927
78,241.0,12_9_30_4977
79,241.0,12_9_30_5011
80,236.0,12_9_30_5044
81,233.0,12_9_30_5094
82,233.0,12_9_30_5127
83,236.0,12_9_30_5177
84,237.0,12_9_30_5211
85,240.0,12_9_31_5261
86,237.0,12_9_31_5294
87,242.0,12_9_31_5327
88,235.0,12_9_31_5377
89,236.0,12_9_31_5410
90,243.0,12_9_31_5461
91,240.0,12_9_31_5494
92,232.0,12_9_31_5544
93,245.0,12_9_31_5577
94,241.0,12_9_31_5611
95,240.0,12_9_31_5660
96,239.0,12_9_31_5694
97,232.0,12_9_31_5744
98,236.0,12_9_31_5778
99,242.0,12_9_31_5827
100,238.0,12_9_31_5860
101,246.0,12_9_31_5910
102,233.0,12_9_31_5944
103,235.0,12_9_31_5977
104,234.0,12_9_31_6027
105,237.0,12_9_31_6061
106,238.0,12_9_31_6111
107,238.0,12_9_31_6144
108,239.0,12_9_31_6194
109,238.0,12_9_32_6228
110,237.0,12_9_32_6261
111,235.0,12_9_32_6310
112,241.0,12_9_32_6344
113,246.0,12_9_32_6394
114,243.0,12_9_32_6427
115,241.0,12_9_32_6477
116,251.0,12_9_32_6510
117,262.0,12_9_32_6561
118,271.0,12_9_32_6593
119,286.0,12_9_32_6627
120,300.0,12_9_32_6677
121,318.0,12_9_32_6711
122,345.0,12_9_32_6761
123,343.0,12_9_32_6794
124,348.0,12_9_32_6844
125,343.0,12_9_32_6877
126,359.0,12_9_32_6910
127,398.0,12_9_32_6960
128,436.0,12_9_32_6994
129,461.0,12_9_32_7044
130,474.0,12_9_32_7078
131,488.0,12_9_32_7128
132,497.0,12_9_32_7161
133,496.0,12_9_32_7210
134,504.0,12_9_33_7244
135,498.0,12_9_33_7277
136,432.0,12_9_33_7327
137,377.0,12_9_33_7361
138,333.0,12_9_33_7411
139,294.0,12_9_33_7444
