position,GSR_Reading,Time_Stamp
0,606.0,16_48_22_556
1,199.0,16_48_22_570
2,194.0,16_48_22_587
3,190.0,16_48_22_603
4,167.0,16_48_22_620
5,147.0,16_48_22_636
6,136.0,16_48_22_653
7,110.0,16_48_22_669
8,149.0,16_48_22_687
9,182.0,16_48_22_703
10,220.0,16_48_22_720
11,353.0,16_48_23_1903
12,331.0,16_48_23_1936
13,299.0,16_48_23_1970
14,270.0,16_48_23_2019
15,237.0,16_48_23_2053
16,220.0,16_48_23_2103
17,206.0,16_48_23_2137
18,199.0,16_48_23_2187
19,198.0,16_48_23_2220
20,195.0,16_48_24_2253
21,191.0,16_48_24_2303
22,167.0,16_48_24_2337
23,149.0,16_48_24_2386
24,138.0,16_48_24_2420
25,141.0,16_48_24_2469
26,160.0,16_48_24_2503
27,185.0,16_48_24_2553
28,219.0,16_48_24_2586
29,254.0,16_48_24_2636
30,297.0,16_48_24_2670
31,337.0,16_48_24_2703
32,371.0,16_48_24_2753
33,403.0,16_48_24_2786
34,430.0,16_48_24_2836
35,459.0,16_48_24_2870
36,487.0,16_48_24_2903
37,496.0,16_48_24_2953
38,504.0,16_48_24_2986
39,505.0,16_48_24_3036
40,520.0,16_48_24_3070
41,536.0,16_48_24_3120
42,542.0,16_48_24_3153
43,537.0,16_48_24_3186
44,517.0,16_48_25_3236
45,487.0,16_48_25_3270
46,439.0,16_48_25_3320
47,401.0,16_48_25_3353
48,360.0,16_48_25_3403
49,318.0,16_48_25_3437
50,284.0,16_48_25_3487
51,253.0,16_48_25_3520
52,228.0,16_48_25_3570
53,211.0,16_48_25_3603
54,200.0,16_48_25_3636
55,198.0,16_48_25_3687
56,195.0,16_48_25_3719
57,190.0,16_48_25_3769
58,181.0,16_48_25_3803
59,159.0,16_48_25_3853
60,176.0,16_48_25_3886
61,148.0,16_48_25_3920
62,155.0,16_48_25_3970
63,176.0,16_48_25_4003
64,206.0,16_48_25_4053
65,247.0,16_48_25_4086
66,286.0,16_48_25_4137
67,331.0,16_48_25_4170
68,365.0,16_48_25_4203
69,394.0,16_48_26_4253
70,422.0,16_48_26_4287
71,448.0,16_48_26_4336
72,473.0,16_48_26_4369
73,491.0,16_48_26_4420
74,561.0,16_48_26_4453
75,527.0,16_48_26_4487
76,524.0,16_48_26_4537
77,535.0,16_48_26_4570
78,543.0,16_48_26_4620
79,538.0,16_48_26_4653
80,522.0,16_48_26_4703
81,495.0,16_48_26_4737
82,459.0,16_48_26_4786
83,416.0,16_48_26_4820
84,370.0,16_48_26_4853
85,327.0,16_48_26_4903
86,287.0,16_48_26_4937
87,257.0,16_48_26_4987
88,161.0,16_48_26_5020
89,190.0,16_48_26_5070
90,194.0,16_48_26_5103
91,194.0,16_48_26_5136
92,198.0,16_48_26_5186
93,195.0,16_48_26_5220
94,185.0,16_48_27_5270
95,197.0,16_48_27_5303
96,157.0,16_48_27_5353
97,143.0,16_48_27_5386
98,151.0,16_48_27_5419
99,170.0,16_48_27_5470
100,197.0,16_48_27_5504
101,236.0,16_48_27_5553
102,270.0,16_48_27_5587
103,315.0,16_48_27_5636
104,355.0,16_48_27_5670
105,386.0,16_48_27_5719
106,412.0,16_48_27_5753
107,442.0,16_48_27_5803
108,469.0,16_48_27_5836
109,520.0,16_48_27_5870
110,510.0,16_48_27_5920
111,508.0,16_48_27_5953
112,509.0,16_48_27_6003
113,527.0,16_48_27_6036
114,539.0,16_48_27_6070
115,537.0,16_48_27_6120
116,480.0,16_48_27_6153
117,484.0,16_48_27_6204
118,459.0,16_48_28_6236
119,421.0,16_48_28_6287
120,378.0,16_48_28_6320
121,333.0,16_48_28_6353
122,295.0,16_48_28_6403
123,272.0,16_48_28_6437
124,239.0,16_48_28_6486
125,217.0,16_48_28_6520
126,205.0,16_48_28_6570
127,197.0,16_48_28_6603
128,196.0,16_48_28_6653
129,197.0,16_48_28_6686
130,164.0,16_48_28_6736
131,154.0,16_48_28_6770
132,144.0,16_48_28_6803
133,139.0,16_48_28_6853
134,145.0,16_48_28_6887
135,167.0,16_48_28_6937
136,196.0,16_48_28_6970
137,246.0,16_48_28_7003
138,278.0,16_48_28_7053
139,315.0,16_48_28_7086
140,352.0,16_48_28_7136
141,384.0,16_48_28_7170
142,412.0,16_48_28_7220
143,441.0,16_48_29_7253
144,466.0,16_48_29_7287
145,487.0,16_48_29_7337
146,497.0,16_48_29_7370
147,504.0,16_48_29_7420
148,509.0,16_48_29_7453
149,525.0,16_48_29_7504
150,539.0,16_48_29_7536
151,544.0,16_48_29_7587
152,527.0,16_48_29_7620
153,503.0,16_48_29_7670
154,472.0,16_48_29_7703
155,430.0,16_48_29_7737
156,385.0,16_48_29_7786
157,341.0,16_48_29_7820
158,307.0,16_48_29_7869
159,271.0,16_48_29_7903
160,241.0,16_48_29_7953
161,219.0,16_48_29_7986
162,206.0,16_48_29_8020
163,199.0,16_48_29_8070
164,197.0,16_48_29_8103
165,194.0,16_48_29_8153
166,191.0,16_48_29_8186
167,165.0,16_48_30_8237
168,146.0,16_48_30_8270
169,138.0,16_48_30_8303
170,145.0,16_48_30_8353
171,162.0,16_48_30_8387
172,199.0,16_48_30_8437
173,230.0,16_48_30_8470
174,268.0,16_48_30_8520
175,308.0,16_48_30_8553
176,345.0,16_48_30_8603
177,378.0,16_48_30_8637
178,408.0,16_48_30_8670
179,442.0,16_48_30_8720
180,466.0,16_48_30_8754
181,485.0,16_48_30_8803
182,496.0,16_48_30_8836
183,503.0,16_48_30_8887
184,509.0,16_48_30_8920
185,523.0,16_48_30_8953
186,535.0,16_48_30_9003
