position,GSR_Reading,Time_Stamp
0,NaN,16_46_59_1892
1,600.0,16_46_59_1941
2,598.0,16_46_59_1973
3,596.0,16_47_0_2007
4,594.0,16_47_0_2057
5,592.0,16_47_0_2090
6,590.0,16_47_0_2140
7,588.0,16_47_0_2173
8,586.0,16_47_0_2223
9,584.0,16_47_0_2257
10,582.0,16_47_0_2290
11,581.0,16_47_0_2340
12,579.0,16_47_0_2374
13,578.0,16_47_0_2423
14,576.0,16_47_0_2457
15,575.0,16_47_0_2490
16,573.0,16_47_0_2541
17,571.0,16_47_0_2574
18,569.0,16_47_0_2624
19,567.0,16_47_0_2657
20,565.0,16_47_0_2706
21,563.0,16_47_0_2740
22,560.0,16_47_0_2774
23,558.0,16_47_0_2824
24,556.0,16_47_0_2857
25,553.0,16_47_0_2906
26,550.0,16_47_0_2939
27,548.0,16_47_0_2989
28,615.0,16_47_1_3024
29,641.0,16_47_1_3057
30,651.0,16_47_1_3107
31,655.0,16_47_1_3140
32,656.0,16_47_1_3190
33,657.0,16_47_1_3224
34,657.0,16_47_1_3274
35,657.0,16_47_1_3307
36,656.0,16_47_1_3356
37,657.0,16_47_1_3390
38,657.0,16_47_1_3440
39,657.0,16_47_1_3473
40,657.0,16_47_1_3507
41,658.0,16_47_1_3557
42,658.0,16_47_1_3590
43,659.0,16_47_1_3640
44,659.0,16_47_1_3673
45,659.0,16_47_1_3707
46,660.0,16_47_1_3757
47,659.0,16_47_1_3789
48,656.0,16_47_1_3840
49,654.0,16_47_1_3873
50,652.0,16_47_1_3924
51,650.0,16_47_1_3957
52,647.0,16_47_1_3990
53,645.0,16_47_2_4040
54,643.0,16_47_2_4073
55,641.0,16_47_2_4123
56,639.0,16_47_2_4157
57,637.0,16_47_2_4190
58,635.0,16_47_2_4240
59,633.0,16_47_2_4273
60,632.0,16_47_2_4323
61,630.0,16_47_2_4357
62,628.0,16_47_2_4407
63,626.0,16_47_2_4440
64,624.0,16_47_2_4473
65,622.0,16_47_2_4524
66,620.0,16_47_2_4557
67,617.0,16_47_2_4607
68,615.0,16_47_2_4640
69,612.0,16_47_2_4690
70,609.0,16_47_2_4723
71,607.0,16_47_2_4756
72,604.0,16_47_2_4807
73,601.0,16_47_2_4840
74,598.0,16_47_2_4890
75,634.0,16_47_2_4923
76,648.0,16_47_2_4973
77,654.0,16_47_3_5007
78,655.0,16_47_3_5040
79,656.0,16_47_3_5090
80,657.0,16_47_3_5123
81,657.0,16_47_3_5173
82,657.0,16_47_3_5207
83,656.0,16_47_3_5256
84,656.0,16_47_3_5289
85,656.0,16_47_3_5340
86,657.0,16_47_3_5373
87,657.0,16_47_3_5406
88,657.0,16_47_3_5457
89,658.0,16_47_3_5489
90,658.0,16_47_3_5540
91,659.0,16_47_3_5573
92,659.0,16_47_3_5607
93,660.0,16_47_3_5657
94,657.0,16_47_3_5690
95,656.0,16_47_3_5740
96,654.0,16_47_3_5773
97,652.0,16_47_3_5823
98,650.0,16_47_3_5856
99,647.0,16_47_3_5890
100,645.0,16_47_3_5940
101,643.0,16_47_3_5973
102,641.0,16_47_4_6023
103,638.0,16_47_4_6057
104,636.0,16_47_4_6108
105,635.0,16_47_4_6140
106,633.0,16_47_4_6173
107,631.0,16_47_4_6223
108,629.0,16_47_4_6257
109,628.0,16_47_4_6307
110,624.0,16_47_4_6340
111,622.0,16_47_4_6373
112,620.0,16_47_4_6423
113,618.0,16_47_4_6457
114,616.0,16_47_4_6506
115,613.0,16_47_4_6541
116,611.0,16_47_4_6590
117,608.0,16_47_4_6624
118,606.0,16_47_4_6657
119,603.0,16_47_4_6706
120,600.0,16_47_4_6741
121,598.0,16_47_4_6790
122,595.0,16_47_4_6824
123,592.0,16_47_4_6857
124,589.0,16_47_4_6907
125,631.0,16_47_4_6940
126,647.0,16_47_4_6990
127,654.0,16_47_5_7023
128,656.0,16_47_5_7074
129,657.0,16_47_5_7107
130,657.0,16_47_5_7158
131,657.0,16_47_5_7190
132,657.0,16_47_5_7240
133,657.0,16_47_5_7273
134,657.0,16_47_5_7307
135,657.0,16_47_5_7356
136,657.0,16_47_5_7390
137,658.0,16_47_5_7440
138,658.0,16_47_5_7473
139,659.0,16_47_5_7507
140,659.0,16_47_5_7556
141,659.0,16_47_5_7590
142,659.0,16_47_5_7640
143,659.0,16_47_5_7674
144,658.0,16_47_5_7724
145,656.0,16_47_5_7756
146,654.0,16_47_5_7807
147,651.0,16_47_5_7840
148,649.0,16_47_5_7873
149,647.0,16_47_5_7924
150,645.0,16_47_5_7957
151,643.0,16_47_6_8007
152,641.0,16_47_6_8040
153,640.0,16_47_6_8073
154,638.0,16_47_6_8124
155,636.0,16_47_6_8158
156,634.0,16_47_6_8207
157,632.0,16_47_6_8240
158,630.0,16_47_6_8274
159,628.0,16_47_6_8323
160,626.0,16_47_6_8356
161,624.0,16_47_6_8406
162,621.0,16_47_6_8440
163,619.0,16_47_6_8491
164,616.0,16_47_6_8524
165,613.0,16_47_6_8573
166,610.0,16_47_6_8606
167,607.0,16_47_6_8640
168,604.0,16_47_6_8691
169,600.0,16_47_6_8723
170,635.0,16_47_6_8773
171,649.0,16_47_6_8806
172,654.0,16_47_6_8841
173,657.0,16_47_6_8890
174,657.0,16_47_6_8923
175,657.0,16_47_6_8973
176,657.0,16_47_7_9007
177,657.0,16_47_7_9057
178,657.0,16_47_7_9090
179,657.0,16_47_7_9140
180,657.0,16_47_7_9173
181,657.0,16_47_7_9224
182,658.0,16_47_7_9257
183,658.0,16_47_7_9290
184,659.0,16_47_7_9340
185,659.0,16_47_7_9373
186,659.0,16_47_7_9423
187,659.0,16_47_7_9457
188,657.0,16_47_7_9490
189,656.0,16_47_7_9540
190,654.0,16_47_7_9573
