position,GSR_Reading,Time_Stamp
0,NaN,9_46_3_579
1,32.0,9_46_3_591
2,333.0,9_46_3_607
3,134.0,9_46_3_624
4,135.0,9_46_3_640
5,136.0,9_46_3_657
6,137.0,9_46_3_674
7,138.0,9_46_3_691
8,139.0,9_46_3_707
9,140.0,9_46_3_724
10,141.0,9_46_3_740
11,142.0,9_46_3_757
12,143.0,9_46_3_774
13,144.0,9_46_3_791
14,145.0,9_46_3_808
15,146.0,9_46_3_824
16,147.0,9_46_3_840
17,148.0,9_46_3_857
18,149.0,9_46_3_874
19,150.0,9_46_3_890
20,151.0,9_46_3_907
21,NaN,9_46_3_925
22,128.0,9_46_3_941
23,129.0,9_46_3_957
24,130.0,9_46_3_974
25,131.0,9_46_3_991
26,132.0,9_46_3_1007
27,133.0,9_46_3_1024
28,134.0,9_46_3_1041
29,135.0,9_46_3_1057
30,136.0,9_46_3_1074
31,137.0,9_46_3_1091
32,138.0,9_46_3_1108
33,139.0,9_46_3_1123
34,140.0,9_46_3_1140
35,141.0,9_46_3_1157
36,142.0,9_46_3_1174
37,143.0,9_46_3_1190
38,144.0,9_46_3_1207
39,145.0,9_46_3_1224
40,146.0,9_46_3_1241
41,147.0,9_46_3_1258
42,148.0,9_46_3_1274
43,149.0,9_46_3_1291
44,150.0,9_46_3_1307
45,151.0,9_46_3_1324
46,NaN,9_46_4_1907
47,1.0,9_46_4_1924
48,2.0,9_46_4_1940
49,3.0,9_46_4_1958
50,4.0,9_46_4_1973
51,5.0,9_46_4_1991
52,6.0,9_46_4_2007
53,7.0,9_46_4_2024
54,8.0,9_46_4_2040
55,9.0,9_46_4_2057
56,10.0,9_46_4_2074
57,11.0,9_46_4_2091
58,12.0,9_46_4_2107
59,13.0,9_46_4_2124
60,14.0,9_46_4_2141
61,15.0,9_46_4_2157
62,16.0,9_46_4_2174
63,17.0,9_46_4_2190
64,18.0,9_46_4_2208
65,19.0,9_46_4_2224
66,20.0,9_46_4_2241
67,21.0,9_46_4_2257
68,22.0,9_46_4_2274
69,23.0,9_46_4_2291
70,24.0,9_46_4_2307
71,25.0,9_46_4_2324
72,26.0,9_46_4_2341
73,27.0,9_46_4_2357
74,28.0,9_46_5_2374
75,29.0,9_46_5_2391
76,30.0,9_46_5_2407
77,31.0,9_46_5_2424
78,32.0,9_46_5_2440
79,33.0,9_46_5_2457
80,34.0,9_46_5_2474
81,35.0,9_46_5_2491
82,36.0,9_46_5_2507
83,37.0,9_46_5_2524
84,38.0,9_46_5_2541
85,39.0,9_46_5_2557
86,40.0,9_46_5_2573
87,41.0,9_46_5_2590
88,42.0,9_46_5_2607
89,43.0,9_46_5_2623
90,44.0,9_46_5_2640
91,45.0,9_46_5_2658
92,46.0,9_46_5_2674
93,47.0,9_46_5_2690
94,48.0,9_46_5_2707
95,49.0,9_46_5_2724
96,50.0,9_46_5_2741
97,51.0,9_46_5_2757
98,52.0,9_46_5_2774
99,53.0,9_46_5_2790
100,54.0,9_46_5_2807
101,55.0,9_46_5_2824
102,56.0,9_46_5_2840
103,57.0,9_46_5_2857
104,58.0,9_46_5_2874
105,59.0,9_46_5_2890
106,60.0,9_46_5_2907
107,61.0,9_46_5_2924
108,62.0,9_46_5_2941
109,63.0,9_46_5_2957
110,64.0,9_46_5_2974
111,65.0,9_46_5_2990
112,66.0,9_46_5_3007
113,67.0,9_46_5_3024
114,68.0,9_46_5_3040
115,69.0,9_46_5_3058
116,70.0,9_46_5_3074
117,71.0,9_46_5_3090
118,72.0,9_46_5_3107
119,73.0,9_46_5_3124
120,74.0,9_46_5_3140
121,75.0,9_46_5_3157
122,76.0,9_46_5_3174
123,77.0,9_46_5_3191
124,78.0,9_46_5_3207
125,79.0,9_46_5_3224
126,80.0,9_46_5_3240
127,81.0,9_46_5_3257
128,82.0,9_46_5_3274
129,83.0,9_46_5_3290
130,84.0,9_46_5_3307
131,85.0,9_46_5_3324
132,86.0,9_46_5_3341
133,87.0,9_46_5_3357
134,88.0,9_46_6_3374
135,89.0,9_46_6_3390
136,90.0,9_46_6_3407
137,91.0,9_46_6_3424
138,92.0,9_46_6_3441
139,93.0,9_46_6_3457
140,94.0,9_46_6_3474
141,95.0,9_46_6_3490
142,96.0,9_46_6_3507
143,97.0,9_46_6_3523
144,98.0,9_46_6_3541
145,99.0,9_46_6_3557
146,100.0,9_46_6_3574
147,101.0,9_46_6_3590
148,102.0,9_46_6_3608
149,103.0,9_46_6_3623
150,104.0,9_46_6_3640
151,105.0,9_46_6_3657
152,106.0,9_46_6_3674
153,107.0,9_46_6_3690
154,108.0,9_46_6_3707
155,109.0,9_46_6_3724
156,110.0,9_46_6_3741
157,111.0,9_46_6_3758
158,112.0,9_46_6_3774
159,113.0,9_46_6_3790
160,114.0,9_46_6_3807
161,115.0,9_46_6_3824
162,116.0,9_46_6_3841
163,117.0,9_46_6_3857
164,118.0,9_46_6_3874
165,119.0,9_46_6_3891
166,120.0,9_46_6_3907
167,121.0,9_46_6_3924
168,122.0,9_46_6_3941
169,123.0,9_46_6_3957
170,124.0,9_46_6_3974
171,125.0,9_46_6_3991
172,126.0,9_46_6_4007
173,127.0,9_46_6_4024
174,128.0,9_46_6_4041
175,129.0,9_46_6_4058
176,130.0,9_46_6_4073
177,131.0,9_46_6_4090
178,132.0,9_46_6_4107
179,133.0,9_46_6_4124
180,134.0,9_46_6_4141
181,135.0,9_46_6_4157
182,136.0,9_46_6_4173
183,137.0,9_46_6_4191
184,138.0,9_46_6_4207
185,139.0,9_46_6_4224
186,140.0,9_46_6_4240
187,141.0,9_46_6_4257
188,142.0,9_46_6_4275
189,143.0,9_46_6_4292
190,144.0,9_46_6_4308
191,145.0,9_46_6_4325
192,146.0,9_46_6_4342
193,147.0,9_46_6_4358
194,148.0,9_46_7_4375
195,149.0,9_46_7_4392
196,150.0,9_46_7_4408
197,151.0,9_46_7_4425
198,152.0,9_46_7_4441
199,153.0,9_46_7_4458
200,154.0,9_46_7_4475
201,155.0,9_46_7_4492
202,156.0,9_46_7_4508
203,157.0,9_46_7_4525
204,158.0,9_46_7_4542
205,159.0,9_46_7_4559
206,160.0,9_46_7_4575
207,161.0,9_46_7_4591
208,162.0,9_46_7_4608
209,163.0,9_46_7_4625
210,164.0,9_46_7_4642
211,165.0,9_46_7_4658
212,166.0,9_46_7_4675
213,167.0,9_46_7_4691
214,168.0,9_46_7_4708
215,169.0,9_46_7_4725
216,170.0,9_46_7_4742
217,171.0,9_46_7_4758
218,172.0,9_46_7_4775
219,173.0,9_46_7_4791
220,174.0,9_46_7_4808
221,175.0,9_46_7_4824
222,176.0,9_46_7_4842
223,177.0,9_46_7_4858
224,178.0,9_46_7_4874
225,179.0,9_46_7_4891
226,180.0,9_46_7_4909
227,181.0,9_46_7_4925
228,182.0,9_46_7_4942
229,183.0,9_46_7_4959
230,184.0,9_46_7_4974
231,185.0,9_46_7_4991
232,186.0,9_46_7_5008
233,187.0,9_46_7_5025
234,188.0,9_46_7_5042
235,189.0,9_46_7_5058
236,190.0,9_46_7_5074
237,191.0,9_46_7_5091
238,192.0,9_46_7_5108
239,193.0,9_46_7_5125
240,194.0,9_46_7_5141
241,195.0,9_46_7_5158
242,196.0,9_46_7_5175
243,197.0,9_46_7_5191
244,198.0,9_46_7_5208
245,199.0,9_46_7_5225
246,200.0,9_46_7_5242
247,201.0,9_46_7_5259
248,202.0,9_46_7_5275
249,203.0,9_46_7_5291
250,204.0,9_46_7_5307
251,205.0,9_46_7_5324
252,206.0,9_46_7_5342
253,207.0,9_46_7_5359
254,208.0,9_46_8_5375
255,209.0,9_46_8_5392
256,210.0,9_46_8_5408
257,211.0,9_46_8_5425
258,212.0,9_46_8_5441
259,213.0,9_46_8_5458
260,214.0,9_46_8_5475
261,215.0,9_46_8_5492
262,216.0,9_46_8_5508
263,217.0,9_46_8_5524
264,218.0,9_46_8_5541
265,219.0,9_46_8_5558
266,220.0,9_46_8_5575
267,221.0,9_46_8_5591
268,222.0,9_46_8_5608
269,223.0,9_46_8_5625
270,224.0,9_46_8_5641
271,225.0,9_46_8_5658
272,226.0,9_46_8_5675
273,227.0,9_46_8_5692
274,228.0,9_46_8_5708
275,229.0,9_46_8_5737
276,230.0,9_46_8_5753
277,231.0,9_46_8_5770
278,232.0,9_46_8_5787
279,233.0,9_46_8_5804
280,234.0,9_46_8_5820
281,235.0,9_46_8_5837
282,236.0,9_46_8_5853
283,237.0,9_46_8_5870
284,238.0,9_46_8_5887
285,239.0,9_46_8_5904
286,240.0,9_46_8_5920
287,241.0,9_46_8_5936
288,242.0,9_46_8_5954
289,243.0,9_46_8_5970
290,244.0,9_46_8_5986
291,245.0,9_46_8_6003
292,246.0,9_46_8_6020
293,247.0,9_46_8_6036
294,248.0,9_46_8_6053
295,249.0,9_46_8_6070
296,250.0,9_46_8_6087
297,251.0,9_46_8_6103
298,252.0,9_46_8_6120
299,253.0,9_46_8_6136
300,254.0,9_46_8_6153
301,255.0,9_46_8_6170
302,256.0,9_46_8_6187
303,257.0,9_46_8_6203
304,258.0,9_46_8_6220
305,259.0,9_46_8_6237
306,260.0,9_46_8_6254
307,261.0,9_46_8_6270
308,262.0,9_46_8_6287
309,263.0,9_46_8_6304
310,264.0,9_46_8_6320
311,265.0,9_46_8_6337
312,266.0,9_46_8_6353
313,267.0,9_46_9_6370
314,268.0,9_46_9_6387
315,269.0,9_46_9_6403
316,270.0,9_46_9_6420
317,271.0,9_46_9_6437
318,272.0,9_46_9_6454
319,273.0,9_46_9_6470
320,274.0,9_46_9_6486
321,275.0,9_46_9_6503
322,276.0,9_46_9_6520
323,277.0,9_46_9_6537
324,278.0,9_46_9_6553
325,279.0,9_46_9_6570
326,280.0,9_46_9_6587
327,281.0,9_46_9_6604
328,282.0,9_46_9_6620
329,283.0,9_46_9_6636
330,284.0,9_46_9_6654
331,285.0,9_46_9_6670
332,286.0,9_46_9_6687
333,287.0,9_46_9_6703
334,288.0,9_46_9_6720
335,289.0,9_46_9_6737
336,290.0,9_46_9_6753
337,291.0,9_46_9_6770
338,292.0,9_46_9_6787
339,293.0,9_46_9_6804
340,294.0,9_46_9_6820
341,295.0,9_46_9_6837
342,296.0,9_46_9_6854
343,297.0,9_46_9_6870
344,298.0,9_46_9_6887
345,299.0,9_46_9_6904
346,300.0,9_46_9_6920
347,301.0,9_46_9_6937
348,302.0,9_46_9_6953
349,303.0,9_46_9_6971
350,304.0,9_46_9_6987
351,305.0,9_46_9_7004
352,306.0,9_46_9_7020
353,307.0,9_46_9_7037
354,308.0,9_46_9_7053
355,309.0,9_46_9_7070
356,310.0,9_46_9_7086
357,311.0,9_46_9_7103
358,312.0,9_46_9_7120
359,313.0,9_46_9_7137
360,314.0,9_46_9_7153
361,315.0,9_46_9_7170
362,316.0,9_46_9_7187
363,317.0,9_46_9_7204
364,318.0,9_46_9_7220
365,319.0,9_46_9_7237
366,320.0,9_46_9_7253
367,321.0,9_46_9_7270
368,322.0,9_46_9_7287
369,323.0,9_46_9_7304
370,324.0,9_46_9_7320
371,325.0,9_46_9_7337
372,326.0,9_46_9_7353
373,327.0,9_46_10_7370
374,328.0,9_46_10_7386
375,329.0,9_46_10_7403
376,330.0,9_46_10_7420
377,331.0,9_46_10_7437
378,332.0,9_46_10_7453
379,333.0,9_46_10_7470
380,334.0,9_46_10_7487
381,335.0,9_46_10_7503
382,336.0,9_46_10_7521
383,337.0,9_46_10_7537
384,338.0,9_46_10_7554
385,339.0,9_46_10_7570
386,340.0,9_46_10_7586
387,341.0,9_46_10_7604
388,342.0,9_46_10_7620
389,343.0,9_46_10_7637
390,344.0,9_46_10_7654
391,345.0,9_46_10_7670
392,346.0,9_46_10_7687
393,347.0,9_46_10_7703
394,348.0,9_46_10_7720
395,349.0,9_46_10_7737
396,350.0,9_46_10_7754
397,351.0,9_46_10_7770
398,352.0,9_46_10_7787
399,353.0,9_46_10_7804
400,354.0,9_46_10_7820
401,355.0,9_46_10_7837
402,356.0,9_46_10_7854
403,357.0,9_46_10_7870
404,358.0,9_46_10_7887
405,359.0,9_46_10_7903
406,360.0,9_46_10_7920
407,361.0,9_46_10_7937
408,362.0,9_46_10_7953
409,363.0,9_46_10_7970
410,364.0,9_46_10_7987
411,365.0,9_46_10_8003
412,366.0,9_46_10_8020
413,367.0,9_46_10_8037
414,368.0,9_46_10_8054
415,369.0,9_46_10_8070
416,370.0,9_46_10_8087
417,371.0,9_46_10_8103
418,372.0,9_46_10_8120
419,373.0,9_46_10_8136
420,374.0,9_46_10_8154
421,375.0,9_46_10_8170
422,376.0,9_46_10_8187
423,377.0,9_46_10_8203
424,378.0,9_46_10_8220
425,379.0,9_46_10_8237
426,380.0,9_46_10_8253
427,381.0,9_46_10_8270
428,382.0,9_46_10_8287
429,383.0,9_46_10_8304
430,384.0,9_46_10_8320
431,385.0,9_46_10_8337
432,386.0,9_46_10_8354
433,387.0,9_46_11_8370
434,388.0,9_46_11_8386
435,389.0,9_46_11_8403
436,390.0,9_46_11_8420
437,391.0,9_46_11_8436
438,392.0,9_46_11_8454
439,393.0,9_46_11_8470
440,394.0,9_46_11_8487
441,395.0,9_46_11_8504
442,396.0,9_46_11_8520
443,397.0,9_46_11_8537
444,398.0,9_46_11_8554
445,399.0,9_46_11_8571
446,400.0,9_46_11_8587
447,401.0,9_46_11_8604
448,402.0,9_46_11_8620
449,403.0,9_46_11_8637
450,404.0,9_46_11_8654
451,405.0,9_46_11_8670
452,406.0,9_46_11_8687
453,407.0,9_46_11_8703
454,408.0,9_46_11_8720
455,409.0,9_46_11_8737
456,410.0,9_46_11_8754
457,411.0,9_46_11_8770
458,412.0,9_46_11_8787
459,413.0,9_46_11_8803
460,414.0,9_46_11_8820
461,415.0,9_46_11_8837
462,416.0,9_46_11_8854
463,417.0,9_46_11_8870
464,418.0,9_46_11_8887
465,419.0,9_46_11_8903
466,420.0,9_46_11_8920
467,421.0,9_46_11_8937
468,422.0,9_46_11_8954
469,423.0,9_46_11_8971
470,424.0,9_46_11_8987
471,425.0,9_46_11_9004
472,426.0,9_46_11_9020
473,427.0,9_46_11_9036
474,428.0,9_46_11_9053
475,429.0,9_46_11_9070
476,430.0,9_46_11_9086
477,431.0,9_46_11_9103
478,432.0,9_46_11_9120
479,433.0,9_46_11_9137
480,434.0,9_46_11_9153
481,435.0,9_46_11_9170
482,436.0,9_46_11_9187
483,437.0,9_46_11_9204
484,438.0,9_46_11_9220
485,439.0,9_46_11_9237
486,440.0,9_46_11_9253
487,441.0,9_46_11_9273
488,442.0,9_46_11_9290
489,443.0,9_46_11_9306
490,444.0,9_46_11_9323
491,445.0,9_46_11_9339
492,446.0,9_46_11_9356
493,447.0,9_46_12_9373
494,448.0,9_46_12_9389
495,449.0,9_46_12_9407
496,450.0,9_46_12_9423
497,451.0,9_46_12_9439
498,452.0,9_46_12_9456
499,453.0,9_46_12_9473
500,454.0,9_46_12_9490
501,455.0,9_46_12_9507
502,456.0,9_46_12_9523
503,457.0,9_46_12_9540
504,458.0,9_46_12_9557
505,459.0,9_46_12_9573
506,460.0,9_46_12_9589
507,461.0,9_46_12_9606
508,462.0,9_46_12_9623
509,463.0,9_46_12_9640
510,464.0,9_46_12_9656
511,465.0,9_46_12_9673
512,466.0,9_46_12_9690
513,467.0,9_46_12_9706
514,468.0,9_46_12_9723
515,469.0,9_46_12_9740
516,470.0,9_46_12_9756
517,471.0,9_46_12_9773
518,472.0,9_46_12_9790
519,473.0,9_46_12_9807
520,474.0,9_46_12_9823
521,475.0,9_46_12_9839
522,476.0,9_46_12_9856
523,477.0,9_46_12_9873
524,478.0,9_46_12_9889
525,479.0,9_46_12_9907
526,480.0,9_46_12_9923
527,481.0,9_46_12_9940
528,482.0,9_46_12_9957
529,483.0,9_46_12_9973
530,484.0,9_46_12_9989
531,485.0,9_46_12_10006
532,486.0,9_46_12_10023
533,487.0,9_46_12_10040
534,488.0,9_46_12_10057
535,489.0,9_46_12_10073
536,490.0,9_46_12_10089
537,491.0,9_46_12_10107
538,492.0,9_46_12_10123
539,493.0,9_46_12_10139
540,494.0,9_46_12_10156
541,495.0,9_46_12_10173
542,496.0,9_46_12_10190
543,497.0,9_46_12_10206
544,498.0,9_46_12_10223
545,499.0,9_46_12_10240
546,500.0,9_46_12_10256
547,501.0,9_46_12_10273
548,502.0,9_46_12_10290
549,503.0,9_46_12_10307
550,504.0,9_46_12_10323
551,505.0,9_46_12_10340
552,506.0,9_46_12_10357
553,507.0,9_46_13_10373
554,508.0,9_46_13_10390
555,509.0,9_46_13_10406
556,510.0,9_46_13_10423
557,511.0,9_46_13_10439
558,512.0,9_46_13_10456
559,513.0,9_46_13_10473
560,514.0,9_46_13_10489
561,515.0,9_46_13_10506
562,516.0,9_46_13_10523
563,517.0,9_46_13_10540
564,518.0,9_46_13_10556
565,519.0,9_46_13_10573
566,520.0,9_46_13_10590
567,521.0,9_46_13_10607
568,522.0,9_46_13_10623
569,523.0,9_46_13_10640
570,524.0,9_46_13_10656
571,525.0,9_46_13_10673
572,526.0,9_46_13_10690
573,527.0,9_46_13_10707
574,528.0,9_46_13_10723
575,529.0,9_46_13_10739
576,530.0,9_46_13_10756
577,531.0,9_46_13_10773
578,532.0,9_46_13_10789
579,533.0,9_46_13_10806
580,534.0,9_46_13_10823
581,535.0,9_46_13_10839
582,536.0,9_46_13_10856
583,537.0,9_46_13_10873
584,538.0,9_46_13_10890
585,539.0,9_46_13_10907
586,540.0,9_46_13_10923
587,541.0,9_46_13_10940
588,542.0,9_46_13_10956
589,543.0,9_46_13_10973
590,544.0,9_46_13_10990
591,545.0,9_46_13_11006
592,546.0,9_46_13_11023
593,547.0,9_46_13_11040
594,548.0,9_46_13_11056
595,549.0,9_46_13_11073
596,550.0,9_46_13_11090
597,551.0,9_46_13_11107
598,552.0,9_46_13_11123
599,553.0,9_46_13_11140
600,554.0,9_46_13_11156
601,555.0,9_46_13_11173
602,556.0,9_46_13_11190
603,557.0,9_46_13_11207
604,558.0,9_46_13_11224
605,559.0,9_46_13_11240
606,560.0,9_46_13_11257
607,561.0,9_46_13_11274
608,562.0,9_46_13_11289
609,563.0,9_46_13_11306
610,564.0,9_46_13_11323
611,565.0,9_46_13_11340
612,566.0,9_46_13_11356
613,567.0,9_46_14_11373
614,568.0,9_46_14_11390
615,569.0,9_46_14_11406
616,570.0,9_46_14_11423
617,571.0,9_46_14_11439
618,572.0,9_46_14_11456
619,573.0,9_46_14_11473
620,574.0,9_46_14_11489
621,575.0,9_46_14_11506
622,576.0,9_46_14_11523
623,577.0,9_46_14_11540
624,578.0,9_46_14_11556
625,579.0,9_46_14_11573
626,580.0,9_46_14_11590
627,581.0,9_46_14_11607
628,582.0,9_46_14_11624
629,583.0,9_46_14_11640
630,584.0,9_46_14_11656
631,585.0,9_46_14_11673
632,586.0,9_46_14_11690
633,587.0,9_46_14_11707
634,588.0,9_46_14_11723
635,589.0,9_46_14_11740
636,590.0,9_46_14_11757
637,591.0,9_46_14_11773
638,592.0,9_46_14_11790
639,593.0,9_46_14_11807
640,594.0,9_46_14_11823
641,595.0,9_46_14_11840
642,596.0,9_46_14_11856
643,597.0,9_46_14_11873
644,598.0,9_46_14_11890
645,599.0,9_46_14_11907
646,600.0,9_46_14_11923
647,601.0,9_46_14_11940
648,602.0,9_46_14_11957
649,603.0,9_46_14_11973
