position,GSR_Reading,Time_Stamp
0,9.0,8_47_44_667
1,NaN,8_47_44_685
2,NaN,8_47_44_700
3,2.0,8_47_44_717
4,NaN,8_47_44_733
5,NaN,8_47_44_750
6,88.0,8_47_44_766
7,374.0,8_47_44_782
8,NaN,8_47_44_800
9,653.0,8_47_44_816
10,643.0,8_47_44_832
11,486.0,8_47_44_849
12,95.0,8_47_44_866
13,NaN,8_47_44_883
14,58.0,8_47_44_900
15,225.0,8_47_44_917
16,654.0,8_47_44_933
17,653.0,8_47_44_949
18,506.0,8_47_44_966
19,135.0,8_47_44_982
20,NaN,8_47_44_1000
21,NaN,8_47_44_1017
22,97.0,8_47_44_1033
23,459.0,8_47_44_1050
24,659.0,8_47_44_1066
25,537.0,8_47_44_1083
26,232.0,8_47_45_1099
27,NaN,8_47_45_1117
28,NaN,8_47_45_1133
29,88.0,8_47_45_1150
30,374.0,8_47_45_1166
31,NaN,8_47_45_1950
32,585.0,8_47_45_1966
33,534.0,8_47_45_1983
34,468.0,8_47_45_2006
35,325.0,8_47_45_2022
36,153.0,8_47_45_2039
37,NaN,8_47_45_2056
38,NaN,8_47_45_2072
39,NaN,8_47_45_2089
40,48.0,8_47_46_2105
41,122.0,8_47_46_2122
42,228.0,8_47_46_2138
43,414.0,8_47_46_2155
44,638.0,8_47_46_2172
45,664.0,8_47_46_2188
46,661.0,8_47_46_2205
47,626.0,8_47_46_2222
48,553.0,8_47_46_2239
49,456.0,8_47_46_2255
50,284.0,8_47_46_2272
51,87.0,8_47_46_2289
52,NaN,8_47_46_2305
53,NaN,8_47_46_2322
54,NaN,8_47_46_2339
55,127.0,8_47_46_2355
56,579.0,8_47_46_2372
57,621.0,8_47_46_2389
58,465.0,8_47_46_2405
59,73.0,8_47_46_2422
60,NaN,8_47_46_2439
61,64.0,8_47_46_2455
62,238.0,8_47_46_2472
63,661.0,8_47_46_2488
64,652.0,8_47_46_2505
65,498.0,8_47_46_2522
66,111.0,8_47_46_2539
67,NaN,8_47_46_2556
