position,GSR_Reading,Time_Stamp
0,NaN,9_24_59_1894
1,503.0,9_24_59_1908
2,503.0,9_24_59_1924
3,503.0,9_24_59_1941
4,503.0,9_24_59_1957
5,502.0,9_24_59_1975
6,503.0,9_24_59_1991
7,503.0,9_24_59_2007
8,503.0,9_24_59_2024
9,503.0,9_24_59_2041
10,503.0,9_24_59_2058
11,503.0,9_25_0_2074
12,503.0,9_25_0_2091
13,503.0,9_25_0_2108
14,503.0,9_25_0_2124
15,502.0,9_25_0_2141
16,502.0,9_25_0_2158
17,502.0,9_25_0_2175
18,503.0,9_25_0_2191
19,504.0,9_25_0_2208
20,504.0,9_25_0_2224
21,503.0,9_25_0_2241
22,503.0,9_25_0_2258
23,502.0,9_25_0_2274
24,502.0,9_25_0_2291
25,502.0,9_25_0_2308
26,503.0,9_25_0_2324
27,503.0,9_25_0_2341
28,503.0,9_25_0_2358
29,503.0,9_25_0_2374
30,502.0,9_25_0_2391
31,502.0,9_25_0_2407
32,502.0,9_25_0_2432
33,503.0,9_25_0_2448
34,502.0,9_25_0_2465
35,503.0,9_25_0_2482
36,503.0,9_25_0_2498
37,503.0,9_25_0_2515
38,502.0,9_25_0_2532
39,502.0,9_25_0_2548
40,502.0,9_25_0_2565
41,502.0,9_25_0_2582
42,503.0,9_25_0_2598
43,503.0,9_25_0_2614
44,502.0,9_25_0_2631
45,502.0,9_25_0_2649
46,502.0,9_25_0_2665
47,502.0,9_25_0_2682
48,502.0,9_25_0_2698
49,502.0,9_25_0_2715
50,503.0,9_25_0_2731
51,503.0,9_25_0_2748
52,503.0,9_25_0_2765
53,503.0,9_25_0_2782
54,502.0,9_25_0_2798
55,502.0,9_25_0_2815
56,502.0,9_25_0_2831
57,502.0,9_25_0_2848
58,503.0,9_25_0_2865
59,503.0,9_25_0_2882
60,502.0,9_25_0_2898
61,502.0,9_25_0_2914
62,502.0,9_25_0_2931
63,502.0,9_25_0_2948
64,502.0,9_25_0_2965
65,502.0,9_25_0_2981
66,503.0,9_25_0_2998
67,503.0,9_25_0_3014
68,502.0,9_25_0_3031
69,501.0,9_25_0_3048
70,502.0,9_25_1_3065
71,502.0,9_25_1_3082
72,502.0,9_25_1_3098
73,502.0,9_25_1_3115
74,503.0,9_25_1_3131
75,503.0,9_25_1_3148
76,502.0,9_25_1_3165
77,502.0,9_25_1_3181
78,502.0,9_25_1_3199
79,502.0,9_25_1_3215
80,502.0,9_25_1_3231
81,502.0,9_25_1_3248
82,503.0,9_25_1_3265
83,503.0,9_25_1_3281
84,502.0,9_25_1_3299
85,502.0,9_25_1_3314
86,502.0,9_25_1_3332
87,502.0,9_25_1_3348
88,503.0,9_25_1_3365
89,503.0,9_25_1_3382
90,503.0,9_25_1_3398
91,502.0,9_25_1_3415
92,501.0,9_25_1_3432
93,501.0,9_25_1_3448
94,501.0,9_25_1_3464
95,501.0,9_25_1_3481
96,502.0,9_25_1_3498
97,503.0,9_25_1_3515
98,502.0,9_25_1_3531
99,502.0,9_25_1_3549
100,501.0,9_25_1_3566
101,501.0,9_25_1_3581
102,502.0,9_25_1_3598
103,502.0,9_25_1_3615
104,502.0,9_25_1_3631
105,502.0,9_25_1_3649
106,502.0,9_25_1_3665
107,502.0,9_25_1_3681
108,501.0,9_25_1_3698
109,502.0,9_25_1_3715
110,502.0,9_25_1_3731
111,502.0,9_25_1_3748
112,502.0,9_25_1_3765
113,502.0,9_25_1_3782
114,502.0,9_25_1_3798
115,501.0,9_25_1_3815
116,501.0,9_25_1_3831
117,502.0,9_25_1_3848
118,501.0,9_25_1_3865
119,502.0,9_25_1_3882
120,502.0,9_25_1_3898
121,502.0,9_25_1_3915
122,502.0,9_25_1_3931
123,502.0,9_25_1_3948
124,501.0,9_25_1_3965
125,501.0,9_25_1_3982
126,502.0,9_25_1_3998
127,502.0,9_25_1_4015
128,503.0,9_25_1_4031
129,502.0,9_25_1_4048
130,502.0,9_25_2_4065
131,501.0,9_25_2_4082
132,502.0,9_25_2_4098
133,501.0,9_25_2_4115
134,502.0,9_25_2_4131
135,502.0,9_25_2_4148
136,502.0,9_25_2_4165
137,502.0,9_25_2_4182
138,501.0,9_25_2_4198
139,501.0,9_25_2_4215
140,502.0,9_25_2_4231
141,501.0,9_25_2_4248
142,502.0,9_25_2_4265
143,502.0,9_25_2_4281
144,502.0,9_25_2_4298
145,502.0,9_25_2_4315
146,502.0,9_25_2_4331
147,501.0,9_25_2_4348
148,501.0,9_25_2_4365
149,502.0,9_25_2_4382
150,502.0,9_25_2_4398
151,502.0,9_25_2_4415
152,502.0,9_25_2_4431
153,501.0,9_25_2_4448
154,502.0,9_25_2_4465
155,502.0,9_25_2_4481
156,502.0,9_25_2_4498
157,502.0,9_25_2_4514
158,503.0,9_25_2_4532
159,502.0,9_25_2_4548
160,502.0,9_25_2_4565
161,502.0,9_25_2_4581
162,502.0,9_25_2_4598
163,501.0,9_25_2_4615
164,502.0,9_25_2_4632
165,503.0,9_25_2_4648
166,503.0,9_25_2_4665
167,503.0,9_25_2_4681
168,502.0,9_25_2_4698
169,501.0,9_25_2_4714
170,501.0,9_25_2_4731
171,501.0,9_25_2_4755
172,501.0,9_25_2_4771
173,502.0,9_25_2_4788
174,502.0,9_25_2_4805
175,502.0,9_25_2_4821
176,502.0,9_25_2_4838
177,501.0,9_25_2_4854
178,501.0,9_25_2_4871
179,502.0,9_25_2_4888
180,502.0,9_25_2_4905
181,502.0,9_25_2_4921
182,502.0,9_25_2_4938
183,502.0,9_25_2_4955
184,501.0,9_25_2_4971
185,501.0,9_25_2_4988
186,502.0,9_25_2_5005
187,502.0,9_25_2_5021
188,502.0,9_25_2_5038
189,502.0,9_25_2_5055
190,503.0,9_25_3_5071
191,502.0,9_25_3_5089
192,501.0,9_25_3_5105
193,501.0,9_25_3_5122
194,502.0,9_25_3_5138
195,502.0,9_25_3_5155
196,502.0,9_25_3_5171
197,502.0,9_25_3_5188
198,502.0,9_25_3_5205
199,502.0,9_25_3_5222
200,501.0,9_25_3_5238
201,502.0,9_25_3_5255
202,502.0,9_25_3_5271
203,502.0,9_25_3_5289
204,502.0,9_25_3_5304
205,502.0,9_25_3_5322
206,501.0,9_25_3_5338
207,501.0,9_25_3_5355
208,501.0,9_25_3_5371
209,501.0,9_25_3_5388
210,502.0,9_25_3_5405
211,501.0,9_25_3_5421
212,502.0,9_25_3_5438
213,502.0,9_25_3_5455
214,502.0,9_25_3_5472
215,501.0,9_25_3_5489
216,502.0,9_25_3_5505
217,501.0,9_25_3_5522
218,502.0,9_25_3_5538
219,502.0,9_25_3_5555
220,502.0,9_25_3_5572
221,501.0,9_25_3_5588
222,501.0,9_25_3_5605
223,501.0,9_25_3_5621
224,501.0,9_25_3_5638
225,501.0,9_25_3_5655
226,501.0,9_25_3_5671
227,503.0,9_25_3_5689
228,502.0,9_25_3_5704
229,502.0,9_25_3_5721
230,501.0,9_25_3_5738
231,501.0,9_25_3_5755
232,501.0,9_25_3_5772
233,502.0,9_25_3_5789
234,502.0,9_25_3_5804
235,503.0,9_25_3_5822
236,502.0,9_25_3_5839
237,502.0,9_25_3_5854
238,502.0,9_25_3_5872
239,502.0,9_25_3_5888
240,501.0,9_25_3_5905
241,502.0,9_25_3_5921
242,502.0,9_25_3_5938
243,502.0,9_25_3_5955
244,502.0,9_25_3_5972
245,501.0,9_25_3_5988
246,501.0,9_25_3_6004
247,502.0,9_25_3_6022
248,501.0,9_25_3_6038
249,502.0,9_25_3_6055
250,503.0,9_25_4_6072
251,502.0,9_25_4_6088
252,502.0,9_25_4_6105
253,502.0,9_25_4_6122
254,502.0,9_25_4_6139
255,501.0,9_25_4_6155
256,502.0,9_25_4_6172
257,502.0,9_25_4_6188
258,503.0,9_25_4_6205
259,502.0,9_25_4_6222
260,502.0,9_25_4_6238
261,501.0,9_25_4_6255
262,502.0,9_25_4_6271
263,502.0,9_25_4_6288
264,502.0,9_25_4_6305
265,503.0,9_25_4_6321
266,503.0,9_25_4_6338
267,502.0,9_25_4_6355
268,502.0,9_25_4_6371
269,501.0,9_25_4_6388
270,501.0,9_25_4_6405
271,501.0,9_25_4_6422
272,502.0,9_25_4_6439
273,502.0,9_25_4_6455
