X-Position,Current_Reading,Time_Stamp
212,514.0,20_36_30_10286
213,505.0,20_36_30_10335
214,507.0,20_36_31_10368
215,506.0,20_36_31_10402
216,513.0,20_36_31_10452
217,515.0,20_36_31_10485
218,505.0,20_36_31_10536
219,508.0,20_36_31_10569
220,507.0,20_36_31_10618
221,507.0,20_36_31_10653
222,511.0,20_36_31_10685
223,506.0,20_36_31_10735
224,511.0,20_36_31_10769
225,506.0,20_36_31_10819
226,510.0,20_36_31_10852
227,505.0,20_36_31_10902
228,504.0,20_36_31_10936
229,504.0,20_36_31_10985
