X-Position,Current_Reading,Time_Stamp
0,503.0,22_41_9_1685
1,502.0,22_41_9_1717
2,507.0,22_41_9_1750
3,501.0,22_41_9_1800
4,501.0,22_41_9_1832
5,506.0,22_41_9_1899
6,501.0,22_41_9_1917
7,501.0,22_41_9_1967
8,500.0,22_41_9_2002
9,501.0,22_41_9_2035
10,501.0,22_41_10_2086
11,501.0,22_41_10_2136
12,501.0,22_41_10_2171
13,501.0,22_41_10_2203
14,501.0,22_41_10_2237
15,506.0,22_41_10_2288
16,502.0,22_41_10_2337
17,502.0,22_41_10_2371
18,503.0,22_41_10_2403
19,506.0,22_41_10_2438
20,509.0,22_41_10_2487
21,503.0,22_41_10_2521
22,505.0,22_41_10_2570
23,513.0,22_41_10_2603
24,509.0,22_41_10_2653
25,508.0,22_41_10_2687
26,508.0,22_41_10_2720
27,510.0,22_41_10_2770
28,504.0,22_41_10_2802
29,505.0,22_41_10_2853
30,505.0,22_41_10_2886
31,506.0,22_41_10_2935
32,506.0,22_41_10_2969
33,503.0,22_41_10_3001
34,503.0,22_41_10_3052
35,503.0,22_41_11_3085
36,503.0,22_41_11_3134
37,503.0,22_41_11_3168
38,502.0,22_41_11_3218
39,502.0,22_41_11_3252
40,505.0,22_41_11_3302
41,504.0,22_41_11_3334
42,501.0,22_41_11_3371
43,501.0,22_41_11_3422
44,509.0,22_41_11_3455
45,501.0,22_41_11_3488
46,501.0,22_41_11_3537
47,504.0,22_41_11_3571
48,501.0,22_41_11_3621
49,502.0,22_41_11_3654
50,501.0,22_41_11_3705
51,501.0,22_41_11_3737
52,509.0,22_41_11_3772
53,503.0,22_41_11_3821
54,502.0,22_41_11_3855
55,513.0,22_41_11_3891
56,504.0,22_41_11_3941
57,504.0,22_41_11_3973
58,503.0,22_41_11_4024
59,504.0,22_41_11_4057
60,503.0,22_41_12_4106
61,503.0,22_41_12_4144
62,504.0,22_41_12_4180
63,504.0,22_41_12_4230
64,505.0,22_41_12_4279
65,503.0,22_41_12_4296
66,504.0,22_41_12_4346
67,504.0,22_41_12_4380
68,503.0,22_41_12_4415
69,503.0,22_41_12_4482
70,504.0,22_41_12_4499
71,512.0,22_41_12_4549
72,506.0,22_41_12_4584
73,503.0,22_41_12_4618
74,504.0,22_41_12_4668
75,503.0,22_41_12_4702
76,501.0,22_41_12_4750
77,501.0,22_41_12_4785
78,502.0,22_41_12_4834
79,501.0,22_41_12_4883
80,501.0,22_41_12_4920
81,504.0,22_41_12_4954
82,501.0,22_41_12_4988
83,501.0,22_41_12_5038
84,506.0,22_41_13_5071
85,506.0,22_41_13_5119
86,501.0,22_41_13_5153
87,501.0,22_41_13_5185
88,502.0,22_41_13_5237
89,507.0,22_41_13_5270
90,504.0,22_41_13_5319
91,502.0,22_41_13_5353
92,502.0,22_41_13_5403
93,503.0,22_41_13_5437
94,506.0,22_41_13_5475
95,503.0,22_41_13_5507
96,504.0,22_41_13_5557
97,507.0,22_41_13_5588
98,503.0,22_41_13_5640
99,503.0,22_41_13_5673
100,505.0,22_41_13_5722
101,503.0,22_41_13_5754
102,503.0,22_41_13_5805
103,504.0,22_41_13_5838
104,503.0,22_41_13_5872
105,503.0,22_41_13_5919
106,514.0,22_41_13_5954
107,503.0,22_41_13_6003
108,509.0,22_41_13_6037
109,505.0,22_41_14_6086
110,503.0,22_41_14_6119
111,503.0,22_41_14_6169
112,512.0,22_41_14_6217
113,504.0,22_41_14_6235
114,501.0,22_41_14_6287
115,501.0,22_41_14_6321
116,502.0,22_41_14_6356
117,502.0,22_41_14_6421
118,504.0,22_41_14_6439
119,501.0,22_41_14_6491
120,500.0,22_41_14_6527
121,501.0,22_41_14_6559
122,501.0,22_41_14_6626
123,502.0,22_41_14_6643
124,507.0,22_41_14_6692
125,502.0,22_41_14_6727
126,503.0,22_41_14_6760
127,502.0,22_41_14_6828
128,502.0,22_41_14_6845
129,503.0,22_41_14_6895
130,506.0,22_41_14_6930
131,502.0,22_41_14_6964
132,503.0,22_41_14_7014
133,504.0,22_41_14_7048
134,505.0,22_41_15_7096
135,504.0,22_41_15_7132
136,503.0,22_41_15_7165
137,504.0,22_41_15_7231
138,503.0,22_41_15_7249
139,503.0,22_41_15_7304
140,503.0,22_41_15_7339
141,503.0,22_41_15_7371
142,513.0,22_41_15_7438
143,503.0,22_41_15_7456
144,504.0,22_41_15_7506
145,504.0,22_41_15_7523
146,503.0,22_41_15_7572
147,504.0,22_41_15_7623
148,504.0,22_41_15_7673
149,502.0,22_41_15_7689
150,508.0,22_41_15_7739
151,502.0,22_41_15_7771
152,502.0,22_41_15_7822
153,502.0,22_41_15_7855
154,501.0,22_41_15_7904
155,501.0,22_41_15_7938
156,507.0,22_41_15_7988
157,501.0,22_41_15_8021
158,501.0,22_41_15_8055
159,502.0,22_41_16_8088
160,503.0,22_41_16_8138
161,502.0,22_41_16_8186
162,502.0,22_41_16_8220
163,505.0,22_41_16_8268
164,503.0,22_41_16_8301
165,503.0,22_41_16_8352
166,512.0,22_41_16_8386
167,503.0,22_41_16_8419
168,506.0,22_41_16_8469
169,503.0,22_41_16_8501
170,513.0,22_41_16_8552
171,504.0,22_41_16_8584
172,507.0,22_41_16_8634
173,506.0,22_41_16_8666
174,503.0,22_41_16_8700
175,512.0,22_41_16_8750
176,503.0,22_41_16_8783
177,506.0,22_41_16_8833
178,505.0,22_41_16_8865
179,511.0,22_41_16_8917
180,504.0,22_41_16_8950
181,508.0,22_41_16_8983
182,513.0,22_41_16_9033
183,503.0,22_41_17_9065
184,505.0,22_41_17_9116
185,505.0,22_41_17_9149
186,502.0,22_41_17_9198
187,512.0,22_41_17_9232
188,504.0,22_41_17_9300
189,501.0,22_41_17_9317
190,502.0,22_41_17_9367
191,503.0,22_41_17_9400
192,501.0,22_41_17_9435
193,500.0,22_41_17_9469
194,501.0,22_41_17_9519
195,501.0,22_41_17_9553
196,501.0,22_41_17_9601
197,502.0,22_41_17_9637
198,510.0,22_41_17_9670
199,503.0,22_41_17_9721
200,502.0,22_41_17_9754
201,502.0,22_41_17_9803
202,511.0,22_41_17_9838
203,503.0,22_41_17_9871
204,503.0,22_41_17_9939
205,509.0,22_41_17_9957
206,502.0,22_41_17_10008
207,503.0,22_41_17_10041
208,506.0,22_41_18_10076
209,514.0,22_41_18_10127
210,510.0,22_41_18_10161
211,503.0,22_41_18_10194
212,506.0,22_41_18_10243
213,504.0,22_41_18_10277
214,503.0,22_41_18_10327
215,503.0,22_41_18_10360
216,503.0,22_41_18_10410
217,503.0,22_41_18_10442
218,504.0,22_41_18_10477
219,503.0,22_41_18_10527
220,514.0,22_41_18_10561
221,505.0,22_41_18_10610
222,503.0,22_41_18_10643
223,502.0,22_41_18_10709
224,502.0,22_41_18_10727
225,502.0,22_41_18_10776
226,502.0,22_41_18_10812
227,503.0,22_41_18_10845
228,501.0,22_41_18_10896
229,500.0,22_41_18_10929
230,507.0,22_41_18_10978
231,501.0,22_41_18_11012
232,501.0,22_41_18_11045
233,502.0,22_41_19_11096
234,512.0,22_41_19_11129
235,501.0,22_41_19_11178
236,502.0,22_41_19_11212
237,505.0,22_41_19_11262
238,502.0,22_41_19_11311
239,507.0,22_41_19_11328
240,503.0,22_41_19_11378
241,503.0,22_41_19_11414
242,502.0,22_41_19_11463
243,503.0,22_41_19_11512
244,505.0,22_41_19_11529
245,504.0,22_41_19_11578
246,507.0,22_41_19_11612
247,506.0,22_41_19_11679
248,504.0,22_41_19_11695
249,504.0,22_41_19_11745
